,A,BetI,ArcA,Cra
abx_mega__naoh-6__1,-1.680624445,-0.7621596813,-0.2497476536,-0.0315979718
abx_mega__cst_h2o__2,0.4866530898,0.1689044716,-0.3739455369,-0.3307579353
abx_mega__h2o-1b__2,3.3295945349,1.2670712875999999,-0.4412101766,-0.5558390831000001
abx_mega__rfp_h2o__1,1.7434700876,1.3800166293,-0.5310190811000001,-1.7615590003000001
abx_mega__tet_h2o__1,-0.9074943147000001,-0.9347690319,-0.45421179570000003,-1.7568379058999999
abx_mega__flavo_dmso__1,-2.9109031351,-1.4810351843,-0.305938729,0.1660500036
abx_mega__zeocin_h2o__1,-1.080703416,-1.3991408632,-0.6137315737,0.48433845670000003
abx_mega__nor_naoh__3,0.4768701249,-0.221332001,-0.7445127357,-0.3263923486
abx_mega__rach_dmso__2,0.46349281600000003,-0.4521406881,-0.440766099,0.46525192070000004
abx_mega__thio_dmso__2,1.4183981935,0.5066577123,-0.1313631139,-2.0357395307
abx_mega__amyc-d_dmso__3,-0.2395778227,0.0654590833,0.2026076278,-1.6318591136
abx_mega__rif_dmso__2,-2.3478193683,-0.14929532410000002,-0.7345121231,-0.4210968036
abx_mega__amyc-d_dmso__4,1.119501546,0.4743801791,-0.33577681130000003,-0.8271836069
abx_mega__teix_dmso__3,-1.5766275719,-1.3099886375,-0.3764485198,-0.235260515
abx_mega__valin_dmso__1,-3.2256874643,-1.6349440458,-0.9055701749,-0.5404264046
abx_mega__teix_dmso__4,-1.1328059083,-0.8707678912,-0.7128745584,-0.1281517943
abx_mega__ethanol-10__1,0.3147474098,-0.7435088951000001,-0.3365434024,0.8024695425
abx_mega__inh_h2o__1,1.3578317548,-0.5756055361,-0.9118016409,0.6949377064000001
abx_mega__rif_dmso__3,-3.2075462874,-1.0425428308,-0.2723243866,-1.794658864
abx_mega__van_dmso__3,0.3116770068,0.5602574982,0.7195692725,-1.8545558817
abx_mega__doxo_dmso__1,1.3934638413,-0.8976466272,-0.7211493992,1.4236078071
abx_mega__tmp_dmso__1,-1.3211981372000001,-0.8763062338000001,-1.1035471096,-0.1422608386
abx_mega__ethanol-10__2,1.7516771797000001,-1.0883984367,-0.8090334449000001,0.8253414572000001
abx_mega__tmp_dmso__2,-2.1850191126,-1.4935810793,-1.0282208658,0.015944328900000002
abx_mega__amyc-d_dmso__5,-0.4759458139,-0.008898932,0.1033229876,-1.6910187156
abx_mega__novo_h2o__4,-1.2003663686000001,-1.2600450986,-0.989631354,-2.0946863412
abx_mega__cro_h2o__2,0.0758380833,-1.152866863,-0.6898793059,0.5257695536
abx_mega__cro_h2o__3,-0.2423005711,-0.8376705524,-0.9385224537,0.2565888257
abx_mega__gen_h2o__2,3.0692829807,2.3770391293,1.0977147786,-0.5893973720000001
abx_mega__phos_h2o__4,0.49890038350000004,0.5308792704,0.36099427310000004,0.9156420854
abx_mega__metro_dmso__2,-0.510374238,-0.4909738979,-0.600790616,-1.1846501745
abx_mega__ery_h2o__2,2.4341792849,-0.2555897144,-0.5144488377,-2.2733299144
abx_mega__sacet_h2o__1,-0.2999210788,0.8090104478,1.4841765936,-0.3041345535
abx_mega__nal_naoh__5,-1.2468439091,-1.0260398127,-0.7392321765000001,-0.6094488481
abx_mega__bacit_h2o__4,2.2184356476,0.741548089,-0.2944956992,-1.0523985637
abx_mega__cip_naoh__3,-1.5528200515,-1.3487389126,-0.8669199153,-0.2124608039
abx_mega__ethanol-8__1,-0.7899844915,-1.4363370015,-0.5948867843,1.1846757806000001
abx_mega__h2o-8a__1,2.9006937612,-0.1303338728,-0.5244472115000001,-0.1143937765
abx_mega__ery_h2o__3,0.6497949093000001,-0.7877736362000001,-0.786795397,-2.2488264197
abx_mega__flavo_dmso__2,-0.9287912849000001,-1.2040547354,-0.5681068862,0.5414791011
abx_mega__rif_dmso__4,-1.4844038985,-0.304088214,-0.6737367768,-1.7994636388
abx_mega__novo_h2o__5,-0.5558786931,-1.5860615452,-0.9874018292000001,-2.8797694036
abx_mega__teix_dmso__5,-1.724959536,-1.265775975,-0.704628555,0.7292042436
abx_mega__naoh-2__1,1.6710026794,0.6974553248,0.6390051229,0.1506402454
abx_mega__novo_h2o__6,-0.217337614,-1.3314324422000001,-1.119492052,-2.2825630053
abx_mega__ctx_h2o__3,0.9311348057000001,-0.9564480114,-0.5892935844,0.5598154293000001
abx_mega__rach_dmso__3,1.8410382486999999,-0.21597274800000002,-0.7488069058,0.0412895322
abx_mega__valin_dmso__2,-3.4048511847,-1.0693889381,-0.9849220242000001,-0.39142262170000003
abx_mega__amyc-d_dmso__6,0.21234898400000002,0.5906295222,0.0536946161,-1.5052256722
abx_mega__dox_dmso__2,-1.6197938564,-0.7834032430000001,-0.4765596486,-0.4343343082
abx_mega__teix_dmso__6,-1.8458466899000001,-1.8080056257,-0.9315031237,0.9490607440000001
abx_mega__naoh-6__2,-0.7978740861,-0.8753936843000001,-0.306814501,-0.13238774720000002
abx_mega__inh_h2o__2,4.7009349479,1.2008162501,-0.14971446900000002,-0.282860869
abx_mega__chl_h2o__3,7.9154024498,1.8436760578,-1.7867935451,-1.5334891602
abx_mega__nal_naoh__6,-0.9525822203000001,-0.7296654831,-0.5907873538,-0.5990392219
abx_mega__chl_dmso__2,5.1246401949,1.9288515339,-0.8765617776,-0.9108944941
abx_mega__rach_dmso__4,0.023044361000000003,-0.7379894275000001,-0.5076306448,0.6804196523
abx_mega__teix_dmso__7,-1.0144518153,-1.1009012269,-0.9455588033000001,0.7349275142
abx_mega__ceru_ethanol__1,0.2076685705,0.2233079161,-0.0546648603,0.6911968565000001
abx_mega__dmso-7__1,-1.6882825846,-1.1732258502,-0.7995883998000001,0.6084073021
abx_mega__naoh-6__3,-0.8112576621,-0.7472723967,-0.2305797444,0.0359138691
abx_mega__phos_ethanol__2,-1.5669020497,-0.9009856779000001,-0.2681092712,0.5805534557
abx_mega__metro_dmso__3,0.1777878165,-0.2811752325,-0.6702235864,-1.2865579975
abx_mega__van_dmso__4,-0.9238163482,-0.4946041873,0.8816852332,-1.8854855527
abx_mega__h2o-10__1,2.6315432535000003,-0.1797893526,-0.8235027764,-0.3937749486
abx_mega__h2o-10__2,0.2134272891,-0.6714307605000001,-0.4419145841,0.0569337061
abx_mega__dmso-6__3,-0.2339317546,-0.7148436204,-0.7824784504000001,0.1522864267
abx_mega__mem_dmso__1,-1.1010358006,-1.4055489801,-0.8957583694000001,0.1717118156
abx_mega__ethanol-8__2,0.9536539789,-0.6141474963,-0.46520850020000004,1.0669769225
abx_mega__chl_h2o__4,6.9232674122999995,1.580017093,-1.9027115429,-1.5300362451
abx_mega__van_h2o__1,-1.7865680281,-1.4395859798,-0.5633653791000001,-0.9539721666000001
abx_mega__dcs_h2o__1,-1.0547231511,-1.1170789692,-0.4577927678,0.49571781130000003
abx_mega__rif_dmso__5,-1.9592740852000001,-0.8310839835,-0.5244412812,-0.3398812852
abx_mega__dox_dmso__3,-1.8392112023,-1.1964194046,-0.4069620828,-0.40342935360000004
abx_mega__mem_dmso__2,-1.0877521291,-1.6462937995,-0.6797229178,0.1689494005
abx_mega__lvx_dmso__2,-1.2678954906,-1.2899056584,-0.7931955938,0.0972084373
abx_mega__tet_h2o__2,7.4457630049,2.3185177792,-0.7313918552,-1.0433339282
abx_mega__phos_h2o__5,-0.0023453675000000003,0.2040781858,0.5205305132,0.6151469783
abx_mega__monac_dmso__1,-1.9927352842000001,0.17284125250000001,1.2752649621,-0.8081406531
abx_mega__str_h2o__3,1.7652518042,-0.45685267160000004,-0.8681426453000001,0.249143368
abx_mega__zeocin_h2o__2,0.19662716830000002,0.38049236810000003,0.0039227364,0.4965244495
abx_mega__amyc-d_dmso__7,-0.6235641967000001,0.6987509488,0.1272974469,-1.209235546
abx_mega__fidax_dmso__1,-2.0472478448,-2.0347464691,-1.0048620916,0.6527414339000001
abx_mega__h2o-1a__1,0.1929916692,0.2225200483,-0.0255081624,0.075576312
abx_mega__dox_dmso__4,-0.8033716366,-0.5047739403,-0.37877042,-0.2659597963
abx_mega__lzd_dmso__2,3.9249120305,0.9128459507000001,-0.8464666129,-1.8484214817
abx_mega__tet_h2o__3,-0.9466385581000001,-1.4972865725,-0.3984785491,-1.436213482
abx_mega__dmso-1__2,-3.7306357022,-1.6336750231,-0.302497715,0.292098705
abx_mega__sxt_dmso__2,-0.3892122155,-0.9544990195,-0.6099977714,-0.6780960715000001
abx_mega__tric_ethanol__2,-0.6027137064,-0.5038269806,-0.068855287,0.48036271620000004
abx_mega__teix_dmso__8,-2.519717266,-2.0476303888,-0.5813589195000001,-0.6009751059
abx_mega__ramo_h2o__2,0.9255266671000001,-0.2816044996,-0.4586027053,-0.1478295309
abx_mega__inh_h2o__3,0.1704013031,-0.7292775575,-0.8332605673,0.7750522138
abx_mega__cst_h2o__3,1.3262940597,0.4073646514,-0.7600289733000001,-0.6969591940000001
abx_mega__dmso-9__1,-0.8343553591,-0.8242100648,-0.3639876078,0.47815821950000004
abx_mega__ethanol-8__3,0.1321313993,-0.8835595478,-0.6349855048,0.9893608411
abx_mega__monac_dmso__2,-2.8993819848999998,-0.0788747322,1.262363916,-1.2653026277000001
abx_mega__dmso-9__2,-0.9851117805,-1.1472562482,-0.5589086929,0.4184569051
abx_mega__metro_dmso__4,-2.126053775,-0.7614647266,-0.11194467350000001,-1.1638421847
abx_mega__ctx_h2o__4,0.2734128294,-1.0514482755,-0.576840738,0.5863456874
abx_mega__zeocin_h2o__3,0.32309868,1.0635764008,0.38963961950000003,0.5650166218
abx_mega__bacit_h2o__5,-0.4265503114,0.2745429145,-0.3241111343,-1.0984562915
abx_mega__reta_dmso__1,2.1273411168,-0.242762535,-0.25701469,-2.0109253777
abx_mega__ery_h2o__4,8.0456425295,2.1498325245,-1.3601739322,-1.3485028145
abx_mega__ceru_ethanol__2,4.9745324288,2.089213485,-0.0437337862,-0.5280297472000001
abx_mega__fidax_dmso__2,-1.488116169,-1.2642846885,-0.8291054388,0.6857065432
abx_mega__novo_dmso__1,3.357982457,0.0897020349,-0.51258285,-1.6318165128
abx_mega__naoh-6__4,-1.1308489221,-0.9015073103000001,-0.37249924100000004,-0.06482303040000001
abx_mega__amyc-d_dmso__8,0.49411016360000004,0.7544722071000001,-0.230511501,-1.0195210225
abx_mega__chl_dmso__3,5.2882311471,2.2371612515,-0.8200548711000001,-0.9328703077
abx_mega__nal_naoh__7,-1.4740765687000001,-1.7113095991,-0.4406184697,0.4973491512
abx_mega__teix_dmso__9,-0.8844538678,-1.4911091563,-1.0535215027,0.8080966286
abx_mega__ery_dmso__3,3.9280795528,1.3318358668,-0.6204594402,-1.5690303947
abx_mega__tmp_dmso__3,-0.6483431575,-0.7976998671000001,-1.0780453714,-0.193287018
abx_mega__sxt_dmso__3,0.6335957319000001,-0.018994246000000003,-0.2826101176,0.7843616708000001
abx_mega__polmyx_h2o__4,2.9757570544,1.5387423368,0.3674181562,0.2772773824
abx_mega__mem_dmso__3,-0.1352527036,-0.93402716,-0.5328863570000001,0.4312175016
abx_mega__nal_naoh__8,2.7232656203000003,1.0572964365,-0.4055443481,0.1371330278
abx_mega__pen_h2o__3,-4.5689361680000005,-2.8219836216000003,-0.6397645289,0.0880159845
abx_mega__van_dmso__5,-2.0865481168,-1.1095397624,0.7842886771,-2.0064355262
abx_mega__zeocin_h2o__4,1.1425942444000001,1.4278369992,0.0852071991,0.7160194373000001
abx_mega__h2o-6__2,-0.8697132928,-0.6807634733,-0.18555417640000002,-0.0219061857
abx_mega__tet_h2o__4,-0.9810697856,-1.3905433647,-0.3648115819,-1.7401859745000001
abx_mega__nor_naoh__4,0.0484644004,-0.6836360731000001,-0.5856403514,-0.13764546290000002
abx_mega__cip_naoh__4,-0.30888469500000004,0.0822767528,-0.6155918729000001,-0.12439889450000001
abx_mega__tmp_dmso__4,-1.0457746793,-0.7639144629,-0.8278137878,-0.4953257364
abx_mega__reta_dmso__2,2.9092714461,0.3493292458,-0.346563681,-1.8144474763
abx_mega__mem_dmso__4,-0.1730967484,-1.5911023414,-0.6241635859,0.6515780167
abx_mega__dox_dmso__5,1.273653657,-0.31623713070000004,-0.7549218009,-0.6463130855
abx_mega__tmp_dmso__5,-1.9241062763999999,-0.8591352036000001,-0.5317721226000001,0.5590132598
abx_mega__flavo_dmso__3,-1.4194567097,-1.6770822169000001,-0.42569096170000004,0.7377327490000001
abx_mega__tmp_dmso__6,-3.506445645,-1.8841018252000001,-0.7787333394,0.3955473585
abx_mega__ceru_ethanol__3,4.7499056337,1.215223368,0.2849311861,-0.5943358821
abx_mega__teix_dmso__10,-1.6059700137,-1.3541231310000001,-0.6791321378,-0.312031323
abx_mega__novo_h2o__7,0.9020275276,-0.468275074,-0.5489293682,-2.7418967045000002
abx_mega__fidax_dmso__3,-0.0856249411,-0.47898232020000003,-0.4651611836,0.0787107762
abx_mega__h2o-1a__2,-0.2066330889,0.0001298742,-0.0026546786,-0.0775931141
abx_mega__dcs_h2o__2,0.2936368791,-1.1519158741,-0.4027529064,0.0086808589
abx_mega__cst_h2o__4,2.0400848219,0.6135248086,-0.2620807039,-0.5439747382
abx_mega__van_h2o__2,-2.5156548484,-1.6038525005,-0.1322773285,0.24816900530000002
abx_mega__pen_h2o__4,-4.8877915394,-3.3225163672,-0.24219310500000002,0.519782485
abx_mega__h2o-8b__2,-0.6800753448,-1.2311561596,-0.8656861585000001,0.7406089015
abx_mega__reta_dmso__3,0.4889964238,-0.6381560835,-0.0965249888,-1.6564637059
abx_mega__dmso-7__2,-0.17572178630000002,-0.35807858810000004,-0.6125686037,0.9828303522
abx_mega__rfp_h2o__2,1.8208105956,1.2487485087,-0.6780251964,-1.9493855193
abx_mega__rif_dmso__6,0.4358493648,0.5614163813,-0.3036139091,-0.7389979591
abx_mega__sxt_dmso__4,0.4000654185,-0.0536217653,-0.32311821100000004,0.5831883902
abx_mega__cip_naoh__5,-0.7405551631,-0.5784789027,-0.6472823522000001,-0.0400861278
abx_mega__dmso-9__3,-1.9763854579000002,-1.393212254,-0.6886665677,0.38496605300000003
abx_mega__mem_dmso__5,-0.7185387419,-1.1694866704,-0.8571132198,0.3057779418
abx_mega__tric_h2o__2,-0.43610583500000005,-0.164607844,0.1284023329,1.0814096019
abx_mega__phos_h2o__6,-1.6467368807,-1.5207764723000001,-0.4840414957,0.2956034265
abx_mega__h2o-7__2,-0.7335156785,-0.857989848,-0.5855811282,0.8273412322
abx_mega__h2o-10__3,0.09806190690000001,-0.7900998123,-0.6483210227,-0.018987965000000002
abx_mega__h2o-8a__2,3.2843978645,-0.40348117920000004,-0.7268829535,-0.2574594905
abx_mega__thio_dmso__3,1.4431858047000001,-0.49245306600000005,-0.6520774905000001,-0.5142443918
abx_mega__lzd_dmso__3,1.4607733676999999,-0.1679742459,-0.5106188083000001,-1.1588349234
abx_mega__monac_dmso__3,-2.1548621019,-0.2781381418,0.24239025290000002,-2.0864197647
abx_mega__polmyx_h2o__5,-0.8060012127,-0.7452360457,-0.117810119,-0.1191076226
abx_mega__naoh-6__5,0.061224183800000005,-0.16485164530000002,-0.17484840610000002,-0.0897675072
abx_mega__teix_dmso__11,-0.8920448187000001,-0.6829317826,-0.37866698060000004,0.0465704776
abx_mega__van_h2o__3,-0.3425807307,-1.1169453421,-0.2466820523,0.21144293290000002
abx_mega__teix_dmso__12,-2.1132488173,-1.7507132397,-0.44428095980000004,0.283038642
abx_mega__dox_dmso__6,1.1488255906,0.0829324617,0.7972235026000001,0.45653899740000004
abx_mega__teix_dmso__13,1.3063891673999999,-0.2617363533,-0.6681049898,0.32208788390000004
abx_mega__h2o-7__3,-1.4172480361,-1.2722722082,-0.6444253488,0.6984863627
abx_mega__str_h2o__4,-0.1740503098,0.1475374455,1.3237205784000001,0.44962913320000003
abx_mega__tec_h2o__3,2.8216332884,0.8942387157,-0.7269781167,-0.29761332700000004
abx_mega__phos_h2o__7,-1.1897065023,-1.1010709087,-0.419732614,0.24874925080000002
abx_mega__chl_h2o__5,6.0707920964,1.5329283435,-1.20391518,-2.5241991852
abx_mega__polmyx_h2o__6,5.0466424025,2.1589558553,0.3177096072,0.5041823862
abx_mega__teix_dmso__14,-0.922112829,-0.7821139374,-0.3527548835,-0.07935981040000001
abx_mega__rif_dmso__7,1.1299894292000001,1.0639717356,-0.5273337604,-0.5268674811
abx_mega__ramo_h2o__3,1.3269329042,0.0362938724,-0.09956798480000001,-0.281593315
abx_mega__fidax_dmso__4,-0.9119829936,-0.7722489730000001,-0.5793740741,0.2033202929
abx_mega__teix_dmso__15,-0.14785771690000002,-0.6033610639,-0.6560487783,0.5636834894
abx_mega__thio_dmso__4,1.4405280778,-0.7984136991,-0.8122972091,-0.8255073678
abx_mega__rif_dmso__8,-1.2140491381,0.0586323487,-0.5523283406,-1.0206736848
abx_mega__reta_dmso__4,3.4977620344,0.3336254548,-0.4941901373,-1.8980427306
abx_mega__inh_h2o__4,5.7620201491,1.8302135674,0.018631723200000002,0.2258569543
abx_mega__novo_dmso__2,4.7601554062,0.5931068888000001,-0.5160877503,-1.6487574424
abx_mega__dcs_h2o__3,-0.3028856672,-0.7487912053,-0.7014788256000001,0.09299178670000001
abx_mega__h2o-8b__3,-2.5040775916999998,-1.8670467084,-0.5921202789000001,0.5694757752
abx_mega__valin_dmso__3,-3.523202281,-2.0164358514,-0.6426764761,-0.6313929308
abx_mega__h2o-2__1,0.7564409433,0.9402967788000001,0.8100192573,0.8258952332
abx_mega__cro_h2o__4,-1.5604613978000001,-1.8595636488,-0.6810660943,0.29548445300000004
abx_mega__dcs_h2o__4,-1.1592573404,-1.1976202109,-0.44490424640000004,0.5130989705
abx_mega__str_h2o__5,0.24376819900000002,-1.2935640534,-0.8069696731,0.4155179375
abx_mega__h2o-8a__3,3.430032134,-0.3185237199,-0.8317090932000001,-0.1913457136
abx_mega__dox_dmso__7,-0.4698555178,-0.6677639426,-0.48981127210000003,-0.1410658997
abx_mega__doxo_dmso__2,1.9207979505,-0.6762325225,-0.7361761565,1.4793937737
abx_mega__teix_dmso__16,1.9956103012000002,0.1058828846,-0.7635762723,0.1245718457
abx_mega__rfp_h2o__3,2.0627677835,0.8910422273,-0.673219145,-1.9795885468
abx_mega__ethanol-10__3,0.8597307337000001,-0.4352051686,-0.6117182999,1.1656597673
abx_mega__naoh-2__2,1.8234293409000002,0.5818393297000001,0.8249116608,0.7298784328
abx_mega__van_h2o__4,-1.4157240915,-1.2865364039,-0.1835209761,-1.0022617801
abx_mega__sacet_h2o__2,-0.3295553284,1.4349337917,1.2297299564,0.0681248837
abx_mega__monac_dmso__4,-1.0888874553,0.4018947732,0.8964491817,-0.9495351296000001
abx_mega__h2o-2__2,1.6891967991999999,1.4012575909,0.6051719506000001,1.0371807026
abx_mega__zeocin_h2o__5,0.8705830137,-0.3126058869,-0.7366201193,0.4756949567
