,A,CsgD,MlrA,ihfB,FliZ,CpxR,hns,MqsA,RstA,BtsR,OmpR,BasR,rcsB,Crp,RcdA,Cra
opex__glual_kan__3,2.0252093915,0.8985273179000001,0.3259231906,-0.36133040980000003,-2.1824491019,0.0066445532,-0.06266424870000001,0.13861167,-0.022449222600000002,0.18442682,0.0052547557000000005,0.2888659304,0.1184229735,-0.2739975689,0.2330312921,0.17133579540000002
opex__glual_nor__1,1.7718868248000001,0.8604276541,0.3448229245,-0.46957636300000005,-2.4231666205,-0.12487552160000001,-1.070742021,0.2121466653,-0.0766049498,0.1905152351,-0.0651126256,0.042720475200000003,0.06685888450000001,-0.2739867065,0.26193681550000003,0.1468243774
opex__glual_nor__2,1.9528130208,0.6603266168,0.20514581910000002,-0.5353644925000001,-1.5290495660999999,0.0924754684,-0.2320308552,-0.1058120101,-0.1965366819,0.40213482700000003,-0.086368045,-0.21508587070000001,0.0145792017,-0.1411955001,-0.1313940767,0.3736224957
opex__glual_nor__3,2.0381779377,1.0852282172,0.3764040253,-0.5186915861,-2.6716105257000002,-0.1109547526,-1.1379867404,0.3682390902,-0.1818064435,0.3556024048,-0.2815278285,-0.31935799930000003,0.0262115672,-0.3968922552,-0.40650561030000004,0.0599994098
opex__glual_rif__1,-4.0311877321,-1.5785307073000001,-0.6503276181000001,0.2400147644,-0.2618901704,-0.3531246905,-0.6803224302,-0.4377396751,-0.7565400990000001,-0.0297683768,0.4308842604,0.23488114510000002,-0.1004712519,-0.7714632805,-0.4120449049,0.0650839
opex__glual_rif__2,-4.3620735995,-1.785107225,-0.7654980437000001,0.44819666340000003,-0.08357132190000001,-0.2784321115,-0.6242204463000001,-0.6841763966000001,-0.929768447,0.10420451650000001,0.358808597,0.6211280874,-0.13199124480000002,-0.9445177907000001,0.5039456953,0.07327022820000001
opex__glual_rif__3,-4.4572491438,-1.5229122264,-0.6022626515,0.4468453249,0.7285083952,-0.16735095830000002,-1.2354147287,-0.5332253629,-0.7808998044000001,0.6830806406000001,0.4890603725,0.48409235440000004,-0.0085253463,-0.6936953239,-0.24716428910000002,-0.1169926317
opex__h2o2_amp__1,-1.8119105712999999,-0.4343922767,1.2832404195,0.4415703293,-1.6933236189,0.0167845657,-0.673266942,0.6544084122,1.6403677412,0.59343764,0.2704504988,0.2555733201,-0.0883295794,-0.2741151042,0.014470102600000001,0.2718133273
opex__h2o2_amp__2,-1.9610637146,-0.38351751640000004,1.5268269024999999,0.6135876381,-1.4917811888,0.054004257300000004,-0.25407564390000004,0.5701066959000001,1.8290578471,0.11508799360000001,0.4070767387,0.3295963381,-0.1542552708,-0.2107467671,-0.47468569590000004,0.226503942
opex__h2o2_amp__3,-2.2164767233,-0.4972184188,1.1274796383,0.42436464420000003,-2.2212868101,-0.0699977585,-0.1043415204,0.563315568,1.7168470769000002,-0.0891717368,0.254689783,0.1399758549,-0.0951909252,-0.2945587492,-0.4884036467,0.30415046230000004
opex__h2o2_kan__1,-1.6219585269999999,-0.23613571160000002,1.1768295516,0.5400611031,-1.1842550835,0.0583563343,-0.0489783691,0.46913594810000003,1.8925433957000002,0.2014082456,0.4091324843,0.25429278240000003,-0.14671412,-0.14377662900000002,-0.182084627,0.20237956640000002
opex__h2o2_kan__2,-2.2977210462,-0.3510200336,1.3456567003,0.4933860419,-0.9917818115,-0.0434095517,-0.2846315761,0.47057779250000004,1.9306240211999999,0.811138585,0.2959975844,0.4943238499,-0.20202575420000002,-0.1917551074,0.834501009,0.3063496127
opex__h2o2_kan__3,-3.234470488,-0.3019603642,1.2156491623,0.37908711900000003,-1.0371573735,-0.048146842,-0.3102844269,0.5903699976,1.9794424338,1.0139605095,0.3224858117,0.9234421692,-0.180029089,-0.31899979570000003,0.6788773919000001,0.2595230659
opex__h2o2_nor__1,-2.6015209662,-0.41865937410000004,1.4660972791,0.36907357900000004,-1.572441379,-0.018541802200000002,-1.3123408416,0.6591739973,1.714635845,0.3900688947,0.34436371250000003,0.284389608,-0.2557985278,-0.1429422108,0.26775756900000003,0.0827453938
opex__h2o2_nor__2,-2.6879988836,-0.5114212426,1.1269555643,0.3505435283,-1.4032197163,0.1235540838,-0.6126305799,0.8328019463,1.7407830201999999,0.4268691055,0.2668264649,0.46446056290000004,-0.1964318836,-0.1039371872,-0.9637283605,0.19306830800000002
opex__h2o2_nor__3,-3.2730810206,-0.5118955862,1.322171331,0.39564916710000003,-1.0943146314,0.0651089456,-0.6012533065,0.6727343295,1.6857498282,0.8465849026000001,0.24739991490000002,0.5245451679,-0.1356328219,-0.2057577352,0.948689694,0.0675069831
opex__h2o2_rif__1,-6.8378284114,-2.5747757971,-1.4358745175,0.5200092958,1.0820147557,-0.41744649640000003,-0.9044553626,-0.30231434690000003,-0.9097030971000001,-0.1132796895,0.13347842070000002,-0.28019786820000003,-0.7455370983,-1.6721229036,0.0040745523,-1.0135988511
opex__h2o2_rif__2,-5.9898103171,-1.9428015311000002,-0.9556400066,0.4729345917,1.3777895231000001,-0.403501113,-1.0313086927,-0.2393963316,-0.5345811481,1.2807389129,0.1448969807,0.2783661645,-0.6373015160000001,-1.4822713578,1.2152388346,-0.7747005866000001
opex__h2o2_rif__3,-6.5581261718,-2.2598963091,-1.9440120322,0.4579469567,1.1871989327999999,-0.33106125740000003,-1.0591037295,-0.31613288300000003,-0.6014838963,0.7670780082,0.2592097237,0.21939042960000002,-0.6340891781,-1.6233641556,-0.5173150364,-0.83717249
opex__ippoh_amp__1,1.3268139333,0.8702423212,-0.7998751811,-0.0627419932,-2.0397060203,0.2930290645,0.24735540590000002,-1.0415886872,0.2983130443,1.6570734309000001,0.8081314597,0.3668699284,0.6371875612,0.34011186720000003,-0.2094202793,0.48374546
