,A,MntR
USA300_TCH1516_BK-Set001_THB_0.5ug/mLVancomycin_2,1.662458499,7.9627459186
USA300_LAC_ICA-Set002_CAMHB_25mMNaCHO3_1,-0.050249912,8.2459152331
USA300_LAC_ICA-Set002_CAMHB_25mMNaCHO3_2,-0.202742953,8.1206772573
USA300_LAC_ICA-Set002_CAMHB_2gLglucose_1,6.223559312,8.4314051276
USA300_LAC_ICA-Set002_CAMHB_2gLglucose_2,6.118319266,8.3181893976
USA300_LAC_ICA-Set002_CAMHB_Control_1,3.02801691,8.4962461595
USA300_LAC_ICA-Set002_CAMHB_Control_2,2.127026866,8.1155185657
USA300_LAC_ICA-Set002_R10LB_25ugmLadenine_1,10.88841201,8.8424887853
USA300_LAC_ICA-Set002_R10LB_25ugmLadenine_2,10.21268045,8.7794584076
USA300_LAC_ICA-Set002_R10LB_25ugmLguanine_1,8.300995012,8.5820711951
USA300_LAC_ICA-Set002_R10LB_25ugmLguanine_2,8.287037196,8.6078601651
USA300_SNFM1_ICA-Set002_CAMHB_Control_1,-1.120657312,8.2341000191
USA300_SNFM1_ICA-Set002_CAMHB_Control_2,-1.3791217709999999,7.8625186472
USA300_SNFM1_ICA-Set002_R10LB_Control_1,4.9261071130000005,8.564199179100001
USA300_SNFM1_ICA-Set002_R10LB_Control_2,4.446788823,8.3985599966
USA300_SNFR19_ICA-Set002_CAMHB_Control_1,-5.829087863,8.2999628585
USA300_SNFR19_ICA-Set002_CAMHB_Control_2,-5.188582882,8.2652007829
USA300_SNFR19_ICA-Set002_R10LB_Control_1,4.867414111,8.5892667407
USA300_SNFR19_ICA-Set002_R10LB_Control_2,4.823373062,8.4020484991
USA300_TCH1516_ICA-Set002_CAMHB_Control_1,0.229522639,8.3456464205
USA300_TCH1516_ICA-Set002_CAMHB_Control_2,-0.229522639,8.3540727604
USA300_TCH1516_ICA-Set002_R10LB_Control_1,6.291655538,8.1352013357
USA300_TCH1516_ICA-Set002_R10LB_Control_2,5.190753135,8.3372136578
USA300_LAC_ICA-Set002_R10LBnoGlu_1gLmaltose_2,3.051540741,8.9007569315
USA300_LAC_ICA-Set002_CAMHB_0.0195ug/mLMupirocin_1,-3.087150353,7.5822485707
USA300_LAC_ICA-Set002_R10LBnoGlu_1gLmaltose_1,2.79123625,8.9076169845
USA300_LAC_ICA-Set002_CAMHB_0.0195ug/mLMupirocin_2,-3.900177804,7.6978060702
USA300_TCH1516_ICA-Set003_250nMParaquat_1,-1.597442802,6.8660146452
USA300_TCH1516_ICA-Set003_250nMParaquat_2,-2.61689464,7.3229082851000005
USA300_TCH1516_ICA-Set003_2gLGalactose_1,-1.097704079,8.0889558847
USA300_TCH1516_ICA-Set003_2gLGalactose_2,-1.551714584,7.6537263025
USA300_TCH1516_ICA-Set003_2gLPyruvate_1,-2.407337232,7.8652974347
USA300_TCH1516_ICA-Set003_2gLPyruvate_2,-2.878183424,7.4868557909
USA300_TCH1516_ICA-Set003_Control_1,-1.312418685,7.9842172713
USA300_TCH1516_ICA-Set003_Control_2,-1.605078748,7.996349853
USA300_TCH1516_ICA-Set003_StationaryPhase_1,4.523492454,7.1055506633
USA300_TCH1516_ICA-Set003_StationaryPhase_2,4.311703858,6.8309492517
