,A,RplD,ArcA,DksA,Fnr
abx_mega__tec_h2o__1,3.8947676503,0.8834439295000001,-0.38609345780000004,0.8045375289000001,-2.6112045671
abx_mega__str_h2o__1,1.7952412025000002,0.19844387260000002,1.2331627263,0.4154885464,0.2482154852
abx_mega__ctx_h2o__1,-0.3545807936,0.249912392,-0.4496263185,-0.3904574854,0.0230880885
abx_mega__nal_naoh__2,-0.4788196269,-0.5855606568,-0.5000365137,-0.2659185626,0.3075812793
abx_mega__phos_h2o__1,0.5504126668,0.29850233200000004,-0.9224545732,-1.3633367388,-0.7038356709
abx_mega__dmso-5__2,1.2377641814,-0.9294276175,-0.31040230480000003,-0.0731294266,-0.2244639849
abx_mega__polmyx_h2o__1,-0.2123781449,0.19513078050000002,-0.1547312355,0.3186418733,0.32801548280000004
abx_mega__h2o-8b__1,-0.0328010132,-0.6890599132,-0.7734435138,-1.1214803548,-0.0363903054
abx_mega__h2o-6__1,-0.1991964136,-0.5075524496,-0.2452190206,-0.4785395866,0.1539794799
abx_mega__thio_dmso__1,3.3957019185,2.7183065546,-0.6604458461,-2.3800087462,-0.315089026
abx_mega__phos_h2o__2,-1.7957527041999999,0.2301230386,-0.36638296740000004,-0.5222562487,-0.19593564700000002
abx_mega__ctx_h2o__2,2.0220892644,1.384688148,-0.6634625427,-1.4069016635,0.1826918599
abx_mega__lzd_dmso__1,0.668797183,1.398509402,-0.7503258015000001,-1.3108981746000001,0.6125076868
abx_mega__naoh-9__1,-1.6542770239,-0.0973860507,-0.1047583445,-0.8125281283,0.518483773
abx_mega__dox_dmso__1,-2.0548201758,1.1120380552,-1.0523870943,-0.1548596273,0.6077452839
abx_mega__phos_ethanol__1,-2.1574360679,0.4263688874,-0.3908090648,-0.7720687267,0.7489705412000001
abx_mega__teix_dmso__1,3.8450620065,0.7112908263000001,-0.6588512144,-0.7507184343000001,-1.2905505804000001
abx_mega__dmso-10__1,-2.3417533072,-0.30838473790000004,-0.796986874,-0.7252470645,0.4743514224
abx_mega__van_dmso__1,-4.198959625,1.5939293872,0.6215221205,-0.242829762,0.8302627999000001
abx_mega__ramo_h2o__1,1.4292827646,0.8676577419,-0.7357496835,-0.4150174795,-0.8002749045
abx_mega__tec_h2o__2,0.8614113348,1.2206194836,-0.8809856715000001,-0.6111387022,-1.6551107114999999
abx_mega__h2o-7__1,0.7484634528,0.6597734166,-0.332200824,-1.6060836332,0.21844817860000001
abx_mega__cro_h2o__1,1.8871759307,1.0413272802,-0.7032624132,-1.4147163202,0.0879280571
abx_mega__tric_ethanol__1,2.629250307,-1.22153542,0.5471721956,-0.2570357653,0.8900785727
abx_mega__nor_naoh__1,-0.4862011116,-0.434067221,-0.6750352942000001,-0.28057773140000003,-0.0313845657
abx_mega__teix_dmso__2,1.8150778823,-0.5668353756,-0.7443126348,-0.15133045550000002,-0.4150383489
abx_mega__nal_naoh__3,-0.4682889269,-0.60559453,-0.46151863260000003,-0.2592107229,0.2272209504
abx_mega__novo_h2o__2,-7.3013670409,0.7563327521000001,-0.6557503914,-1.110714593,0.16806743940000002
abx_mega__dmso-10__2,-1.5802496421,-0.2718014191,-0.6482476939,-0.7253675970000001,0.40832126950000003
abx_mega__phos_h2o__3,0.22426492280000002,-0.6787199809000001,-0.4793409832,-0.5071387775,0.0877333852
abx_mega__dmso-6__2,1.5890847627,-1.8284457586,-0.5675396422,-0.3396721623,-0.1654402185
abx_mega__rfp_ethanol__1,3.2778548397,1.6609511876,-0.034679769900000004,-0.48287741580000004,-0.12067474560000001
abx_mega__dmso-5__3,-0.11666016300000001,-0.9402893187,-0.3525345714,-0.3053108396,0.1613415464
abx_mega__amyc-d_dmso__1,-1.5672079314,-1.4981105772,-0.0338108436,0.3639178402,0.257224454
abx_mega__sxt_dmso__1,-1.6720876904000002,0.1818304085,-0.4064062229,-1.3380411379,0.047755995
abx_mega__dmso-1__1,-0.2157469841,-0.7536125464000001,-0.40150323260000004,-0.1218927747,-0.1308553567
abx_mega__pen_h2o__1,0.8789971780000001,0.0202022588,-0.4034077274,0.5315848489,-0.3609283863
abx_mega__dmso-10__3,-2.0598219975,-0.13360866870000002,-0.7157018740000001,-0.6381587979000001,0.20815252
abx_mega__nal_naoh__4,-1.4061793631000001,0.1879350428,-0.7166546285000001,-0.8129888084,0.0028938907
abx_mega__cip_naoh__1,-1.77941203,0.1060058294,-0.5501377366,-0.6032056492,0.11078089020000001
abx_mega__pen_h2o__2,-0.29051198,0.2092194303,-0.3916451892,0.3354205934,-0.2836689398
abx_mega__ery_dmso__2,2.7599620530999998,1.5764766754,-0.7050130261,-0.1681832795,0.0804674744
abx_mega__dmso-2__2,1.3872348495,-0.9806783622,0.5643015045,0.3366323142,-0.2221077391
abx_mega__van_dmso__2,-2.9883865979,1.4075235991000001,0.7962936861000001,-0.287982611,0.6605546913
abx_mega__h2o-1b__1,-1.452164791,0.5781240994,-0.2826643938,-0.6043456882,0.030807355300000002
abx_mega__ery_h2o__1,1.5950169001,2.0438667672,-0.9324801713,-1.8884143283000001,0.1635488437
abx_mega__bacit_h2o__1,0.9718947419,1.6004742861999999,-0.7154435960000001,0.2086485204,-0.4774994905
abx_mega__chl_h2o__2,1.3758326325,2.512614668,-1.0549187552000001,-1.1576640517,0.0987552064
abx_mega__str_h2o__2,2.781734124,0.6312071813,1.2063663425,0.3338367067,0.2741965069
abx_mega__rfp_ethanol__2,3.1222309935,1.3406171645,0.24705451250000002,-0.1944611812,0.12295077100000001
abx_mega__polmyx_h2o__2,0.1132274477,0.6945962968,-0.8248140526000001,-0.4520839627,-0.3737381984
abx_mega__tric_h2o__1,0.6157833974,-0.6545379936,0.0642004802,-0.3790696283,1.3424886167
abx_mega__cip_naoh__2,0.5464612886,-0.17123384460000002,-0.6773202813,-0.44769489560000003,0.09932130680000001
abx_mega__novo_h2o__3,-7.6494569898,1.0184172361,-0.7345571464,-1.3095794253,0.0559133562
abx_mega__bacit_dmso__1,4.1037468502,0.0904270327,-0.6457091890000001,0.5003869674,-0.2242105774
abx_mega__gen_h2o__1,0.5906674907,0.6618627931000001,0.9416705114,0.6809570032000001,0.41129122560000003
abx_mega__bacit_dmso__2,4.5018168317,0.0378800625,-0.5853874625000001,0.8856632296,-0.2049744387
abx_mega__chl_dmso__1,0.7137364264,0.909316938,-0.9406118542,0.7726998429,0.1866328231
abx_mega__bacit_h2o__2,1.7763174567000002,0.2757954505,-0.28599873,0.6800005283,-0.8589924069
abx_mega__lvx_dmso__1,-0.052029246700000004,-0.0774201155,-0.6848857907,-0.6484440257,-0.18501779240000002
abx_mega__bacit_h2o__3,1.2364497011,1.5851179564,-0.619184327,0.26261175200000003,-0.3986390476
abx_mega__nor_naoh__2,0.6230175387,-0.6157029862,-0.7077585323000001,-0.31636876610000003,-0.11461450370000001
abx_mega__amyc-d_dmso__2,0.2103003324,-1.6912918731,-0.3164502813,0.5787198654,0.1534325597
abx_mega__polmyx_h2o__3,2.0536274394,-0.4137902567,0.6378008244000001,0.3660417513,0.4256416268
abx_mega__naoh-6__1,-0.2314339902,-0.7553725703,-0.2497476536,-0.36239417760000003,0.1918842788
abx_mega__cst_h2o__2,1.4081793625,0.2638857099,-0.3739455369,0.059364920200000004,0.2575678173
abx_mega__h2o-1b__2,-1.0060494076,1.2805329848,-0.4412101766,-0.8958578769000001,0.7809611414000001
abx_mega__rfp_h2o__1,4.0378845524,0.3278680841,-0.5310190811000001,1.0262994789,-1.0905972262999999
abx_mega__tet_h2o__1,0.5939046859,1.067356152,-0.45421179570000003,-0.0952412805,0.0295461953
abx_mega__flavo_dmso__1,-0.6316624550000001,0.5042083278,-0.305938729,0.1710652292,-0.9098451584
abx_mega__zeocin_h2o__1,-0.2861974568,0.6391667629000001,-0.6137315737,-0.36584136840000003,0.11093211330000001
abx_mega__nor_naoh__3,0.3200127118,-0.10633541290000001,-0.7445127357,-0.3541855899,-0.2660034833
abx_mega__rach_dmso__2,2.1258440825,0.2976384503,-0.440766099,-1.0643612056,0.1360391327
abx_mega__thio_dmso__2,1.2457206796,2.1328130924,-0.1313631139,-0.6224541947000001,0.3253789217
abx_mega__amyc-d_dmso__3,-2.2031337101,-1.218051149,0.2026076278,0.7773529769,0.33467356740000004
abx_mega__rif_dmso__2,3.9831006048,-0.6596169169,-0.7345121231,0.1631230618,-0.7654036895
abx_mega__amyc-d_dmso__4,-2.9642962288,-1.3250146060999999,-0.33577681130000003,0.3487348609,0.0720316185
abx_mega__teix_dmso__3,0.0796389546,0.4617114023,-0.3764485198,-0.4761936906,-0.1127364899
abx_mega__valin_dmso__1,4.880890369,0.33106379880000003,-0.9055701749,1.08445114,-0.1452747475
abx_mega__teix_dmso__4,0.7093183334000001,-0.3523406731,-0.7128745584,-0.3535643456,-0.2103049645
abx_mega__ethanol-10__1,-0.0349917457,0.7078868625,-0.3365434024,-0.6857625580000001,0.6194313426
abx_mega__inh_h2o__1,-1.7856799343,1.2948044048,-0.9118016409,-0.7084154291,-0.0340580552
abx_mega__rif_dmso__3,1.5333905037000002,0.32902541750000003,-0.2723243866,1.0735694525,-1.5589165824
abx_mega__van_dmso__3,-1.6268993587,0.7242215055,0.7195692725,0.1768441288,0.2389667466
abx_mega__doxo_dmso__1,-4.3509462296,0.29484147050000004,-0.7211493992,0.013947737600000001,-0.1301723133
abx_mega__tmp_dmso__1,0.21032257370000002,0.13577483910000002,-1.1035471096,-0.41450732700000004,0.0567992999
abx_mega__ethanol-10__2,-0.5258295603,0.7613474165,-0.8090334449000001,-0.5246727524,0.4463184544
abx_mega__tmp_dmso__2,-0.2977765442,0.0066277286000000005,-1.0282208658,-0.5190014335,-0.011770757000000001
abx_mega__amyc-d_dmso__5,-2.3140280992,-1.2112367014,0.1033229876,0.7127983846,0.4703427457
abx_mega__novo_h2o__4,-2.3555344699000003,0.6476311672,-0.989631354,-0.6354766983,0.7891519738
abx_mega__cro_h2o__2,2.1321335386999998,1.1130842973,-0.6898793059,-1.5678141209,0.0823465979
abx_mega__cro_h2o__3,2.1959336789,1.040225949,-0.9385224537,-1.2345564901000001,-0.21446519260000002
abx_mega__gen_h2o__2,0.9870863772,0.8763926623,1.0977147786,1.0689218194,0.5545946817
abx_mega__phos_h2o__4,2.4350045797,-0.47265558300000005,0.36099427310000004,0.6400824561,-0.1556899832
abx_mega__metro_dmso__2,0.7759230882,-0.5828387326000001,-0.600790616,-0.0912576615,0.40866825960000003
abx_mega__ery_h2o__2,1.0542757915,1.8446348929,-0.5144488377,-1.1065067019,-0.0307498051
abx_mega__sacet_h2o__1,2.3305810543,-1.4036691966000001,1.4841765936,-0.41985398100000004,1.8984960352
abx_mega__nal_naoh__5,-0.8145463881,-0.1170969496,-0.7392321765000001,-0.40819962060000003,0.11935505780000001
abx_mega__bacit_h2o__4,1.6916100824,0.4124001047,-0.2944956992,0.6760975843,-0.7716038602
abx_mega__cip_naoh__3,-0.9340337817000001,0.10166047830000001,-0.8669199153,-0.7121262563,-0.1062377801
abx_mega__ethanol-8__1,-1.4883171815,-0.2750486599,-0.5948867843,-1.0177504126,-0.0429042057
abx_mega__h2o-8a__1,0.99053748,0.6543552625,-0.5244472115000001,-0.5237962713000001,-0.1697118587
abx_mega__ery_h2o__3,0.92869972,2.0144020575,-0.786795397,-1.6952586682000002,-0.046749594000000005
abx_mega__flavo_dmso__2,1.7061399143,0.7730545701,-0.5681068862,-1.3770742384,0.060263538500000005
abx_mega__rif_dmso__4,1.6286358828,0.3848229468,-0.6737367768,0.9345906848000001,-1.4686879149
abx_mega__novo_h2o__5,-6.2312333696,1.22667102,-0.9874018292000001,-0.5952857154,0.2258676651
abx_mega__teix_dmso__5,-0.8376418843000001,0.4700662847,-0.704628555,-1.0696603748,-0.0180107938
abx_mega__naoh-2__1,2.2703942099,0.15587139960000002,0.6390051229,0.1315297219,0.12440957970000001
abx_mega__novo_h2o__6,-7.1044025583,1.2239818717,-1.119492052,-0.9374782446000001,0.7205527484
abx_mega__ctx_h2o__3,3.0770638633,1.2650112192,-0.5892935844,-1.4956127749,-0.064859922
abx_mega__rach_dmso__3,1.8650589222,0.2638105982,-0.7488069058,-0.9396772857000001,-0.0946227506
abx_mega__valin_dmso__2,4.8917970792,0.22485782940000001,-0.9849220242000001,0.3719371446,-0.1504039911
abx_mega__amyc-d_dmso__6,-0.7543360971,-0.9188307973000001,0.0536946161,0.7021786564,1.0932260792
abx_mega__dox_dmso__2,2.0550847033,-1.0895635853,-0.4765596486,0.4949182972,-0.3495048284
abx_mega__teix_dmso__6,-1.1796219636,0.8519966632,-0.9315031237,-1.0644481708,-0.19216870800000002
abx_mega__naoh-6__2,-0.0808960586,-0.4737201192,-0.306814501,-0.41399600210000004,0.2508705046
abx_mega__inh_h2o__2,0.0005326819,-1.6111442952,-0.14971446900000002,-1.6955392754,1.0236963855
abx_mega__chl_h2o__3,0.9783317134,3.2486013779,-1.7867935451,-1.1464032076,0.8645055481
abx_mega__nal_naoh__6,-0.5835157547000001,-0.28247671010000003,-0.5907873538,-0.3090133799,0.1051428429
abx_mega__chl_dmso__2,1.7053550880000001,0.6907800677,-0.8765617776,0.7507226407,0.2708431966
abx_mega__rach_dmso__4,0.1973919891,-0.4705157998,-0.5076306448,-1.4328351897,0.2606390819
abx_mega__teix_dmso__7,-1.2106847737,0.4273488945,-0.9455588033000001,-1.0064876157,0.3504676022
abx_mega__ceru_ethanol__1,-1.7169554244,-1.5586657673,-0.0546648603,-0.5134403208,1.4535275098
abx_mega__dmso-7__1,0.9182020032,-0.5798972296,-0.7995883998000001,-1.3445810974,0.0944210472
abx_mega__naoh-6__3,-0.1745464024,-0.793722918,-0.2305797444,-0.37449435340000004,0.2067024995
abx_mega__phos_ethanol__2,-1.5433260878000001,0.309774581,-0.2681092712,-0.9853820798,0.5219782296000001
abx_mega__metro_dmso__3,0.7512762537000001,-0.6642709434,-0.6702235864,-0.1171962431,0.5121052174
abx_mega__van_dmso__4,-1.34415929,0.6869512231,0.8816852332,0.1458325385,0.28659288180000003
abx_mega__h2o-10__1,0.3875966516,1.7639210166,-0.8235027764,-0.5422610031,0.2130377387
abx_mega__h2o-10__2,0.6188740284,1.4665865388000001,-0.4419145841,-0.3387883521,0.1522575818
abx_mega__dmso-6__3,1.9389919369,-2.0526249307,-0.7824784504000001,-0.0903261711,-0.35454569550000004
abx_mega__mem_dmso__1,1.404812983,1.1871851455,-0.8957583694000001,-1.3409204355,-0.3062884087
abx_mega__ethanol-8__2,-0.9554366384,-0.7864489941,-0.46520850020000004,-0.3777948351,-0.0252304237
abx_mega__chl_h2o__4,0.4875505054,3.2307431838,-1.9027115429,-1.0727130494,0.7271274121
abx_mega__van_h2o__1,0.4233315264,0.4314946978,-0.5633653791000001,0.7046135893000001,-0.903332961
abx_mega__dcs_h2o__1,-1.3385014642,1.0619018458,-0.4577927678,-1.1753780495,0.6936041281
abx_mega__rif_dmso__5,1.4425255706,-0.5073664926,-0.5244412812,0.3325371885,-0.7666040526
abx_mega__dox_dmso__3,0.9849798225,0.6064758873,-0.4069620828,-0.0718394443,0.2468405504
abx_mega__mem_dmso__2,1.9468090855,0.6975454692,-0.6797229178,-0.9393288181,-0.4892115863
abx_mega__lvx_dmso__2,-0.6660784885000001,-0.7310205184,-0.7931955938,-0.6611010356,-0.129152751
abx_mega__tet_h2o__2,3.049297026,2.6301735549,-0.7313918552,-1.7028385763,0.2983443387
abx_mega__phos_h2o__5,2.0912002385,-0.38992345300000003,0.5205305132,0.3502689351,0.12871355610000002
abx_mega__monac_dmso__1,-1.3218208209,0.9743483078,1.2752649621,-0.8011182626000001,1.4088048351
abx_mega__str_h2o__3,-0.6903681378000001,1.614918985,-0.8681426453000001,-0.1784521724,0.08708125080000001
abx_mega__zeocin_h2o__2,4.5839671279,-0.9045947331,0.0039227364,0.1198518174,-0.42460153910000004
abx_mega__amyc-d_dmso__7,-0.0627531222,-0.8410916186,0.1272974469,0.7354116947,0.9037219768
abx_mega__fidax_dmso__1,-2.6998714664,0.2431581375,-1.0048620916,-0.6110729892,0.35278275610000004
abx_mega__h2o-1a__1,0.2019770628,-0.1003111252,-0.0255081624,0.0691907586,-0.1301828894
abx_mega__dox_dmso__4,0.2641881813,-0.9346352487,-0.37877042,0.3414524069,0.1499766492
abx_mega__lzd_dmso__2,0.1639314319,1.8404925816,-0.8464666129,-1.1542465683,0.8640746426
abx_mega__tet_h2o__3,0.6670656536,1.2095051705,-0.3984785491,0.0478525708,-0.014793680600000001
abx_mega__dmso-1__2,-0.31519016980000003,-0.6735891413,-0.302497715,-0.3499324023,-0.0468660871
abx_mega__sxt_dmso__2,0.2589687371,0.5115243053,-0.6099977714,-0.43557479720000003,0.1322961821
abx_mega__tric_ethanol__2,0.5589387798000001,-1.2946387421,-0.068855287,-0.5513841421,0.619159111
abx_mega__teix_dmso__8,-0.234903668,0.9800127363000001,-0.5813589195000001,-0.10373164280000001,-0.0780351353
abx_mega__ramo_h2o__2,-0.1970127461,1.3404274725,-0.4586027053,0.2270982299,-0.5733023752
abx_mega__inh_h2o__3,-1.3221238767,0.6758624768,-0.8332605673,-0.6376971432,0.3346755523
abx_mega__cst_h2o__3,-1.8383632526,0.3921827123,-0.7600289733000001,-0.3760324049,0.6157335293
abx_mega__dmso-9__1,-1.2593477923,-0.9955731154,-0.3639876078,-0.46519328870000004,-0.029816820400000003
abx_mega__ethanol-8__3,-0.2008020279,-0.6259397515,-0.6349855048,-0.7822723891000001,-0.1057688244
abx_mega__monac_dmso__2,-1.3979454324,1.7621909669,1.262363916,-0.9004408757000001,1.4863412037
abx_mega__dmso-9__2,-1.5704077424,-0.8772608190000001,-0.5589086929,-0.6005458013,-0.0200467158
abx_mega__metro_dmso__4,1.7654265316000002,-0.8197766844000001,-0.11194467350000001,0.0642187768,0.6682181821000001
abx_mega__ctx_h2o__4,2.5240350793,1.2543917311000001,-0.576840738,-1.7330636676000002,0.1093383753
abx_mega__zeocin_h2o__3,6.050816713,-0.7557571401000001,0.38963961950000003,0.7704900631,-0.42024945410000003
abx_mega__bacit_h2o__5,4.7401065330000005,0.20063437750000002,-0.3241111343,0.5167951557,-1.0686406259
abx_mega__reta_dmso__1,2.741014561,2.3416682302,-0.25701469,-0.7978517958,0.2624442987
abx_mega__ery_h2o__4,3.2441023922,2.7157602129000002,-1.3601739322,-2.169273553,0.1838410419
abx_mega__ceru_ethanol__2,1.8280395398,-1.3507021583,-0.0437337862,-1.5459389284,1.4458719120999999
abx_mega__fidax_dmso__2,-2.028224073,0.0029467692,-0.8291054388,-0.6247802446,0.061060066100000004
abx_mega__novo_dmso__1,-2.0922978266,0.6862840680000001,-0.51258285,0.0886342678,0.8339819837
abx_mega__naoh-6__4,-0.6882764505,-0.4719714058,-0.37249924100000004,-0.36644001,0.2749615761
abx_mega__amyc-d_dmso__8,-0.1282419662,-1.2471376394,-0.230511501,0.46067032760000004,0.1675077619
abx_mega__chl_dmso__3,1.1507171737,0.8845501595,-0.8200548711000001,0.4017623739,0.2359552994
abx_mega__nal_naoh__7,-1.3832121482,-0.38007691400000004,-0.4406184697,-0.8452471641,-0.1143720156
abx_mega__teix_dmso__9,-1.7781352182,0.8297472024,-1.0535215027,-1.0201044064,0.19924687600000002
abx_mega__ery_dmso__3,1.9137500075,1.5684204321,-0.6204594402,0.044110105000000004,-0.1930182149
abx_mega__tmp_dmso__3,0.5746976008,0.1303426646,-1.0780453714,-0.4793026307,0.021624803
abx_mega__sxt_dmso__3,-0.9608480353000001,0.203170614,-0.2826101176,-1.8499483511,0.1404174962
abx_mega__polmyx_h2o__4,2.7819849631,-0.25811049080000004,0.3674181562,0.37634445650000004,0.7190717129
abx_mega__mem_dmso__3,-1.1583017426,-0.4526516102,-0.5328863570000001,-0.6026887206,-0.106792127
abx_mega__nal_naoh__8,0.7770419866,-0.5175189033,-0.4055443481,0.1422954123,-0.5226446066
abx_mega__pen_h2o__3,-0.4642658381,0.2479556239,-0.6397645289,-0.4139112641,-0.9448240483
abx_mega__van_dmso__5,-1.4384816097,0.7686259185000001,0.7842886771,0.1553606494,0.3519942873
abx_mega__zeocin_h2o__4,3.0089219689,-0.6602857940000001,0.0852071991,0.1869534046,-0.3420308308
abx_mega__h2o-6__2,0.0549661517,-0.5184666842,-0.18555417640000002,-0.5345277824,0.2237971175
abx_mega__tet_h2o__4,-0.0634222357,1.254341108,-0.3648115819,0.0091161821,-0.09366302650000001
abx_mega__nor_naoh__4,-1.2522177563999999,0.1636104611,-0.5856403514,-0.8149179079000001,0.1884711132
abx_mega__cip_naoh__4,-0.1346432225,-0.44928305150000003,-0.6155918729000001,-0.7337431354,0.1897163396
abx_mega__tmp_dmso__4,0.9784873109000001,0.28666756060000004,-0.8278137878,-0.8798204046,0.46955750020000003
abx_mega__reta_dmso__2,5.3043082284,2.3170620421,-0.346563681,-2.4252963485,0.079054857
abx_mega__mem_dmso__4,1.8760889955,1.2799376135,-0.6241635859,-1.571116419,0.1562169847
abx_mega__dox_dmso__5,-2.1100644585,1.1954102788,-0.7549218009,-0.1059502531,0.5560831223
abx_mega__tmp_dmso__5,-0.7988504494,-0.3276284545,-0.5317721226000001,-0.9757366008,0.16093619850000002
abx_mega__flavo_dmso__3,2.5380739440999998,0.5188582475,-0.42569096170000004,-1.4386826231,0.21465859110000002
abx_mega__tmp_dmso__6,-0.5941884417000001,0.5355917892000001,-0.7787333394,-1.2275599565,-0.4506960218
abx_mega__ceru_ethanol__3,-0.4256836044,-1.3683425722,0.2849311861,-0.917754595,1.4078249743
abx_mega__teix_dmso__10,0.5560055608,0.366709147,-0.6791321378,0.1252603962,-0.024926434900000002
abx_mega__novo_h2o__7,-7.2824586348,0.6652239297,-0.5489293682,-0.9901763855000001,0.28331731590000003
abx_mega__fidax_dmso__3,-1.3802041643,-0.4071958261,-0.4651611836,-0.3895469009,0.1656484172
abx_mega__h2o-1a__2,0.20240800850000001,0.1301886468,-0.0026546786,-0.031577787,0.0397621094
abx_mega__dcs_h2o__2,-0.9567983473,0.17831159230000002,-0.4027529064,-0.5867701361000001,0.0295181061
abx_mega__cst_h2o__4,-1.1834871662,0.3437356092,-0.2620807039,-0.1991091214,0.6765520599
abx_mega__van_h2o__2,0.4005625748,0.9179858196,-0.1322773285,0.25873266570000003,-0.1313395527
abx_mega__pen_h2o__4,-1.1239749849,0.3965032652,-0.24219310500000002,-0.7574178195,-1.1849000443
abx_mega__h2o-8b__2,-1.7363155836000002,0.38655224460000004,-0.8656861585000001,-1.0541472706,0.1917764428
abx_mega__reta_dmso__3,3.2222266075,2.5725091985,-0.0965249888,-2.2830549081,-0.1254083886
abx_mega__dmso-7__2,2.2147807583,-0.3715835377,-0.6125686037,-1.2829112334000001,0.0413045956
abx_mega__rfp_h2o__2,4.7057289632,0.24109174160000002,-0.6780251964,1.0596320384,-1.2130654544000001
abx_mega__rif_dmso__6,3.1378741704,-0.2909149813,-0.3036139091,0.9230987954000001,-1.1475451275
abx_mega__sxt_dmso__4,-0.16358818460000002,0.0610132767,-0.32311821100000004,-1.6342728147,0.23990241980000002
abx_mega__cip_naoh__5,-0.22725624190000002,-0.7208166404,-0.6472823522000001,-0.2433947682,-0.042177127
abx_mega__dmso-9__3,-0.9005003224,-0.47776692660000003,-0.6886665677,-0.8743358784,-0.341587067
abx_mega__mem_dmso__5,0.9232588007,0.9199157683,-0.8571132198,-1.3750109793,0.1067217318
abx_mega__tric_h2o__2,0.9705053435000001,-1.2493399624000001,0.1284023329,-0.38438979360000003,1.3284647298
abx_mega__phos_h2o__6,-0.0384912212,-0.31362407400000003,-0.4840414957,-0.6699357975,0.13667702310000002
abx_mega__h2o-7__2,0.910437028,0.36635069470000003,-0.5855811282,-1.1547598209,0.0400555976
abx_mega__h2o-10__3,0.44240116760000003,1.5291252567,-0.6483210227,-0.5294604192,0.1579017148
abx_mega__h2o-8a__2,0.8636940457000001,0.6207138825,-0.7268829535,-0.3928269915,-0.2295144067
abx_mega__thio_dmso__3,3.110216772,2.6719592484,-0.6520774905000001,-2.2245428139,-0.40999634500000004
abx_mega__lzd_dmso__3,0.48339603600000003,1.286153288,-0.5106188083000001,-1.3771484085,0.41635551470000004
abx_mega__monac_dmso__3,-0.7032407567000001,0.16458713590000001,0.24239025290000002,-0.0786628565,0.8852669989
abx_mega__polmyx_h2o__5,0.6638431965,1.1127194053,-0.117810119,-0.2835812093,0.47019160320000003
