,PSPTO_A0072
SRX3159071,0.22705663780000002
SRX3159073,0.3300052861
SRX3159074,-0.013523507300000001
SRX3159075,0.3561239109
SRX3159076,-0.1634656437
SRX3159080,-0.7304143934
SRX3159082,0.1387451394
SRX3159083,-0.4603989952
SRX3159086,0.7839045382000001
SRX3159087,0.15180572550000002
SRX3159088,-0.2271949284
SRX3159089,-0.4619716024
SRX3159090,-0.2978059825
SRX3159091,-0.0243982722
SRX3159092,0.6915498812
SRX3159093,0.4018740543
SRX3159094,-0.8705124273
SRX3159095,0.0032091542
SRX3159096,-0.5966046071000001
SRX3159097,-0.4230510753
SRX3159098,0.2327207598
SRX3159099,-0.2497229057
SRX3158988,-0.041284728300000004
SRX3158989,0.5822589435000001
SRX3158990,0.8476767052
SRX3158991,0.6309153917
SRX3158992,0.1398180269
SRX3158996,-0.09853329870000001
SRX3644656,0.031404708600000004
SRX3644657,-0.0835194128
SRX3644658,0.0521147041
SRX3644659,-0.0847046846
SRX3644660,-0.3531107486
SRX3644661,-0.2963117541
SRX3644662,-0.6346369564000001
SRX3644663,-1.9504695896
SRX3644664,-0.9680426312
SRX3644665,-0.0213907724
SRX3644666,-1.1669901114
SRX3644667,-0.1155073639
SRX3644668,-1.2394871442
SRX3644669,-0.4018470925
SRX3644670,-0.6612058569
SRX3644671,-0.30151029220000003
SRX3644672,0.37284146160000003
SRX3644673,-0.09641606900000001
