,A,Zur,ZntR,CueR
SRX5694295,-2.9317897422,-1.3254762952,-2.4802531378,-1.0293184745
SRX5694296,-0.3174707422,-0.0800936872,-0.19581238010000002,0.5354892605
SRX5694297,0.7883494269,-1.3743684522000001,0.598237937,0.1128592083
SRX5694298,-0.8612164734000001,-0.3616635466,-0.5158333206,-0.694824753
SRX5694299,0.37125625100000004,-0.0731779297,0.029417516600000002,-0.2682304372
SRX5694300,1.2399074839,-0.8910338254,-0.2388949132,-0.6650912235
SRX5694301,-1.722569566,0.2385939042,-0.46881692290000004,-0.645292976
SRX5694302,0.24906583770000001,0.5018356157,-0.2905093594,0.041183296200000004
SRX5694303,-0.6306192373,0.36703260120000003,-0.1172732746,-0.1139209874
SRX5694304,1.7759421504000001,-0.60391289,-0.4061580944,-0.5862660704
SRX5694305,1.3219337359,-1.5647951624,-0.1424019946,0.0680126875
SRX5694306,-1.4381507168,1.366866135,-1.1220880321,1.0015689698
SRX5694307,0.1119378607,-0.2472610042,-0.0745983337,1.4784257522
SRX5694308,2.415281257,-0.3195741411,-0.7735052981,0.10974032680000001
SRX5694309,2.0850978546,-0.8579267315,-0.6938664710000001,-1.2866568362
SRX5694310,-2.5264272497,-1.9284518277,-0.9211938724000001,-1.030399663
SRX5694311,1.2947109405,-1.4087840423,0.0102770411,-0.7632550819
SRX5694312,0.9662247378000001,1.1960409254,-1.7590795978,0.9393490162
SRX5694313,-0.5954914209000001,-2.2453503575,-0.8946322147,-0.8721896075000001
SRX5694315,-0.48865578060000003,-0.1251109402,0.0666472723,-0.2425595473
SRX5694317,-1.9960769297,0.2224079059,-0.6822903577,0.0643552309
SRX5694319,1.0296863632,0.4522576674,-0.6245866875,0.1332291866
SRX5694320,2.2110158237,-2.3992923531,-1.896818483,-0.8320650070000001
SRX5694321,1.4187873029,-0.3848010355,0.0368425519,0.5400967052
SRX5694322,-2.2126965884,1.4426904967,-0.5031785269,2.5557516151
SRX5694323,0.0978570374,-0.7894601797,0.46053277210000004,0.6337412087000001
SRX5694324,1.0802287911,-2.0881510438,1.2556815519,0.426541859
SRX5694325,1.0121685787,-1.4681779547,-0.0627978656,0.3441676356
SRX5694326,-0.1538176147,-0.1676333203,-0.25797288620000003,-0.2256405052
SRX5694327,-2.879060486,-1.5764289781,-0.7682964777,-1.0155002969
SRX5694328,1.2294254592,0.5116964895,-0.2926990755,0.6631368164
SRX5694329,2.155523298,-0.3362218699,-0.23748575090000001,0.66506104
SRX5694330,-3.369011052,1.1673832898,-2.9376715369,1.1553385883
SRX5694331,0.2213893926,0.22966218970000002,-0.1919533046,0.44728476110000004
