,A,NsrR
abx_mega__novo_h2o__2,0.144982843,-0.4984894287
abx_mega__dmso-10__2,0.22707623270000002,0.2394244744
abx_mega__phos_h2o__3,0.2064500548,0.1168794321
abx_mega__dmso-6__2,0.4570316398,-0.15490831100000002
abx_mega__rfp_ethanol__1,-1.9499972132,-1.2126126689
abx_mega__dmso-5__3,0.1291533336,0.1916600448
abx_mega__amyc-d_dmso__1,0.1982998232,1.1935890698
abx_mega__sxt_dmso__1,-1.6837220399000001,-1.8055287487
abx_mega__dmso-1__1,0.034051825200000004,-0.397322789
abx_mega__pen_h2o__1,0.42008662160000004,-0.5123824087000001
abx_mega__dmso-10__3,0.3709275093,-0.0186931896
abx_mega__nal_naoh__4,0.24428647820000002,0.7157952998
abx_mega__cip_naoh__1,0.5724722649,0.5109925347000001
abx_mega__pen_h2o__2,-0.0832078703,-0.2833547597
abx_mega__ery_dmso__2,1.7860795845,0.2404462869
abx_mega__dmso-2__2,-3.1366887522,-0.3919295349
abx_mega__van_dmso__2,3.5111110611000003,0.4713974187
abx_mega__h2o-1b__1,0.2929268018,0.025203613700000002
abx_mega__ery_h2o__1,-1.8555486616999999,1.1520104852
abx_mega__bacit_h2o__1,-1.028243789,-1.6364548456999999
abx_mega__chl_h2o__2,-0.3219560467,1.1470947856
abx_mega__str_h2o__2,0.8952814639000001,-0.1406155079
abx_mega__rfp_ethanol__2,-0.5923740345,-1.3455176474
abx_mega__polmyx_h2o__2,1.1423026701,-0.1912980384
abx_mega__tric_h2o__1,0.7888240698000001,-0.591423064
abx_mega__cip_naoh__2,0.1393612807,-0.16638508100000002
abx_mega__novo_h2o__3,0.76760361,-0.014549161500000001
abx_mega__bacit_dmso__1,0.2687294644,-0.3450232693
abx_mega__gen_h2o__1,2.8814702943,-0.17598022900000002
abx_mega__bacit_dmso__2,0.9053423718,-0.5562611027000001
abx_mega__chl_dmso__1,1.029276374,-0.4909730004
abx_mega__bacit_h2o__2,0.3991359571,-1.3949975515
abx_mega__lvx_dmso__1,-0.0050597852,0.2150596203
abx_mega__bacit_h2o__3,-0.2332345414,-1.1055948067
abx_mega__nor_naoh__2,0.8784807458,0.1351941967
abx_mega__amyc-d_dmso__2,1.2732078109,0.4248049696
abx_mega__polmyx_h2o__3,1.6576667538,0.15273250630000001
abx_mega__naoh-6__1,-1.0595232687,0.0567076329
abx_mega__cst_h2o__2,0.5738830188,0.39856100400000005
abx_mega__h2o-1b__2,-0.0391569363,0.3415437246
abx_mega__rfp_h2o__1,1.5113043983,-0.0781341396
abx_mega__tet_h2o__1,-0.6026734295,0.4558157231
abx_mega__flavo_dmso__1,1.6678603547000002,0.37579572380000004
abx_mega__zeocin_h2o__1,1.6276435526,-0.1013788312
abx_mega__nor_naoh__3,0.09433515440000001,0.0826997019
abx_mega__rach_dmso__2,0.5240859561,-1.9326071197
abx_mega__thio_dmso__2,0.2250142223,1.5766745735
abx_mega__amyc-d_dmso__3,1.4485348952,1.1326352811
abx_mega__rif_dmso__2,2.1806978542,0.45794533
abx_mega__amyc-d_dmso__4,1.3171613247,0.565346326
abx_mega__teix_dmso__3,0.7919872226,-0.131737561
abx_mega__valin_dmso__1,2.2566030929,-0.2220314505
abx_mega__teix_dmso__4,0.7694507284000001,-0.31352496690000003
abx_mega__ethanol-10__1,1.0869107585,-0.5861921527
abx_mega__inh_h2o__1,0.5910341832,-1.2274705445
abx_mega__rif_dmso__3,0.6730668124,-0.1575783937
abx_mega__van_dmso__3,1.4054188141,-0.44589467120000004
abx_mega__doxo_dmso__1,0.5098531903,-0.7418148667000001
abx_mega__tmp_dmso__1,-0.9572148309,0.1731569331
abx_mega__ethanol-10__2,1.0533091661,-0.8173543594
abx_mega__tmp_dmso__2,-1.2465913342000001,0.2442831423
abx_mega__amyc-d_dmso__5,1.404774121,1.3546064089
abx_mega__novo_h2o__4,1.2347561971,-0.44398007450000004
abx_mega__cro_h2o__2,-0.44360453710000003,-1.1011914295
abx_mega__cro_h2o__3,0.5411870728,-0.7682331549
abx_mega__gen_h2o__2,2.2969020889,-0.1139160159
abx_mega__phos_h2o__4,1.5168446592,-0.5812635049
abx_mega__metro_dmso__2,4.815761531,0.34962264260000003
abx_mega__ery_h2o__2,-1.4726621614,1.3161354993
abx_mega__sacet_h2o__1,-0.4146490712,-0.3944191764
abx_mega__nal_naoh__5,-0.7634801386000001,0.0306528923
abx_mega__bacit_h2o__4,0.5147246211000001,-1.1975083431
abx_mega__cip_naoh__3,-0.4039221288,0.5611618831
abx_mega__ethanol-8__1,1.3785192731,-0.4580394967
abx_mega__h2o-8a__1,-0.2809843667,0.9441150572
abx_mega__ery_h2o__3,-1.4940734925,0.8560452596
abx_mega__flavo_dmso__2,0.9167397538000001,-1.3447048369
abx_mega__rif_dmso__4,1.2762305902,-0.1917818249
abx_mega__novo_h2o__5,1.993672128,-0.4538369612
abx_mega__teix_dmso__5,0.6920596419,0.2690134337
abx_mega__naoh-2__1,-1.5760337836,-0.6730369657
abx_mega__novo_h2o__6,0.464306194,-0.12628103940000002
abx_mega__ctx_h2o__3,0.4915674116,-1.351614657
abx_mega__rach_dmso__3,1.6693503913,-1.9709263086000002
abx_mega__valin_dmso__2,1.4428494154,0.0161469828
abx_mega__amyc-d_dmso__6,1.9029891322,1.3459001342999999
abx_mega__dox_dmso__2,1.368112523,-0.548479059
abx_mega__teix_dmso__6,0.3447181045,-0.6127239321
abx_mega__naoh-6__2,0.0853563782,0.1230922574
abx_mega__inh_h2o__2,3.2621910894,-0.5702290436
abx_mega__chl_h2o__3,0.3752195216,0.1229693956
abx_mega__nal_naoh__6,-0.2723153827,-0.17247340900000002
abx_mega__chl_dmso__2,0.4873084984,-0.2841610572
abx_mega__rach_dmso__4,0.4606592975,-1.1338164168
abx_mega__teix_dmso__7,-0.0692027681,0.0702058415
abx_mega__ceru_ethanol__1,2.1338124483,-0.6530692228
abx_mega__dmso-7__1,0.37474500850000003,-0.7286710676
abx_mega__naoh-6__3,-0.1208322163,-0.08947879090000001
abx_mega__phos_ethanol__2,0.3826262123,0.37628155220000004
abx_mega__metro_dmso__3,5.0971491497,0.10654146490000001
abx_mega__van_dmso__4,2.0196268885,-0.5204822863
abx_mega__h2o-10__1,0.0310077313,-0.5227066614
abx_mega__h2o-10__2,1.5117207025,-0.5577824179
abx_mega__dmso-6__3,0.18159433260000002,-0.2752435944
abx_mega__mem_dmso__1,0.22834256560000002,-1.0213914401
abx_mega__ethanol-8__2,2.0521940927,-0.1277657602
abx_mega__chl_h2o__4,-0.1732573284,-0.0778258473
abx_mega__van_h2o__1,-0.6688255964,-0.6352693246000001
abx_mega__dcs_h2o__1,-0.7646594672,0.2200507515
abx_mega__rif_dmso__5,1.4183782375,0.059526114000000005
abx_mega__dox_dmso__3,-1.2112478992,0.47240325390000004
abx_mega__mem_dmso__2,-0.1409242348,0.47358810970000004
abx_mega__lvx_dmso__2,0.40825062510000004,0.2789945636
abx_mega__tet_h2o__2,-1.3098767401,1.9167743804000001
abx_mega__phos_h2o__5,-0.13933838140000002,-0.2186596848
abx_mega__monac_dmso__1,3.1576597801,-1.3127952883
abx_mega__str_h2o__3,0.17001157620000001,-1.482931088
abx_mega__zeocin_h2o__2,1.0492723074,-0.1835715239
abx_mega__amyc-d_dmso__7,0.8838844041,1.3927273854
abx_mega__fidax_dmso__1,-0.1176246417,0.3427036022
abx_mega__h2o-1a__1,0.2741530558,-0.012389847
abx_mega__dox_dmso__4,0.2056860492,-0.10346841150000001
abx_mega__lzd_dmso__2,0.5898437143,0.8918104360000001
abx_mega__tet_h2o__3,-1.0205817836,0.4592776147
abx_mega__dmso-1__2,-0.06749591270000001,0.5004687886
abx_mega__sxt_dmso__2,0.8785700206,0.22511310240000001
abx_mega__tric_ethanol__2,0.8263806152000001,-0.7063451773
abx_mega__teix_dmso__8,-0.8731095254000001,0.3860685991
abx_mega__ramo_h2o__2,0.2354791146,-0.8353224108
abx_mega__inh_h2o__3,1.8063026214,-0.2535033693
abx_mega__cst_h2o__3,0.1683142786,1.0836439757
abx_mega__dmso-9__1,1.3417645442000001,0.36388585560000003
abx_mega__ethanol-8__3,2.6155273177,-0.9411383093000001
abx_mega__monac_dmso__2,3.7036150789,-1.1187975574
abx_mega__dmso-9__2,0.7556747918000001,0.5696561543
abx_mega__metro_dmso__4,4.5921009828,0.1373188703
abx_mega__ctx_h2o__4,0.06513531980000001,-0.8833331593
abx_mega__zeocin_h2o__3,2.202431114,-0.6244041236
abx_mega__bacit_h2o__5,2.6152266128,-1.4997841582
abx_mega__reta_dmso__1,-1.9222028199999999,0.9362710874
abx_mega__ery_h2o__4,-0.3706669796,1.657722984
abx_mega__ceru_ethanol__2,1.3169661662,-0.1679435393
abx_mega__fidax_dmso__2,0.33223920490000003,0.2737664772
abx_mega__novo_dmso__1,2.2347665573,-1.408127832
abx_mega__naoh-6__4,0.6564915560000001,0.1671427589
abx_mega__amyc-d_dmso__8,1.3461303328,0.41003870270000004
abx_mega__chl_dmso__3,0.1047851271,-0.017029562300000002
abx_mega__nal_naoh__7,0.40425501150000004,0.5830478337
abx_mega__teix_dmso__9,0.3592211635,-0.5094509563
abx_mega__ery_dmso__3,0.434720563,0.2592591229
abx_mega__tmp_dmso__3,-0.2466562484,0.3284740253
abx_mega__sxt_dmso__3,0.2199615013,-2.4739852277
abx_mega__polmyx_h2o__4,-0.5240242645000001,0.9642371813
abx_mega__mem_dmso__3,0.5138093671,0.3876192258
abx_mega__nal_naoh__8,1.0236517705,-0.5848707585
abx_mega__pen_h2o__3,0.9615502818,-0.1724500703
abx_mega__van_dmso__5,2.2484943363,-0.6369934106
abx_mega__zeocin_h2o__4,0.4726343778,-0.3245021905
abx_mega__h2o-6__2,-0.45457271130000004,0.1504901519
abx_mega__tet_h2o__4,-1.3804920681000001,0.4208875132
abx_mega__nor_naoh__4,0.2277674668,0.6791325294
abx_mega__cip_naoh__4,-0.1213700937,0.2862221333
abx_mega__tmp_dmso__4,-1.0998409552,1.0162346835
abx_mega__reta_dmso__2,-2.2597267381,0.6305339087
abx_mega__mem_dmso__4,1.6296681715,-1.4336338436
abx_mega__dox_dmso__5,-1.0775708044,0.2976912057
abx_mega__tmp_dmso__5,-0.8592344028000001,0.5159084274
abx_mega__flavo_dmso__3,2.170441898,-1.3360382414
abx_mega__tmp_dmso__6,-1.1059329097,0.6975381085
abx_mega__ceru_ethanol__3,0.5602955339,-0.1845573348
abx_mega__teix_dmso__10,-0.150039122,0.48652993440000003
abx_mega__novo_h2o__7,0.6236274242000001,-0.1042320869
abx_mega__fidax_dmso__3,0.3933777151,0.4771933808
abx_mega__h2o-1a__2,-0.3874840201,-0.1777488521
abx_mega__dcs_h2o__2,1.1952374027000001,0.4264666201
abx_mega__cst_h2o__4,-0.5838572681,1.010715029
abx_mega__van_h2o__2,1.5066206502,-0.5051428498
abx_mega__pen_h2o__4,-0.2795193348,0.40320969170000004
abx_mega__h2o-8b__2,-0.16088311360000002,0.1381727513
abx_mega__reta_dmso__3,-1.7450960223,-0.2429212587
abx_mega__dmso-7__2,-0.47556072650000003,-1.3616784434
abx_mega__rfp_h2o__2,0.9021219893,-0.4499791929
abx_mega__rif_dmso__6,1.3027887648,-0.7917136357
abx_mega__sxt_dmso__4,0.2484068985,-2.282177111
abx_mega__cip_naoh__5,0.5905309137,-0.24286297440000001
abx_mega__dmso-9__3,0.0946029159,0.1791668986
abx_mega__mem_dmso__5,-0.19350891750000002,-0.5476855585
abx_mega__tric_h2o__2,1.9547663426000002,-0.5529525518
abx_mega__phos_h2o__6,-0.0961930985,0.42015009210000004
abx_mega__h2o-7__2,0.5878724304,-1.3419156199
abx_mega__h2o-10__3,0.7035557199,-0.39114488410000003
abx_mega__h2o-8a__2,0.0491238508,0.6101982711
abx_mega__thio_dmso__3,-1.5867721355,-0.42408584390000004
abx_mega__lzd_dmso__3,-0.2681142991,0.5440601989
abx_mega__monac_dmso__3,2.1797986317,0.5728220992
abx_mega__polmyx_h2o__5,0.0704329831,0.2816957921
abx_mega__naoh-6__5,-1.1473556192,0.062419339000000004
abx_mega__teix_dmso__11,-0.0907001937,-0.3715773996
abx_mega__van_h2o__3,1.5871084008,-0.8976632132000001
abx_mega__teix_dmso__12,-0.20462122940000002,0.2415206061
abx_mega__dox_dmso__6,-0.7460891752000001,-1.1455644043
abx_mega__teix_dmso__13,1.2274604242,-1.9039183163
abx_mega__h2o-7__3,-0.5672095244,-1.2571330778
abx_mega__str_h2o__4,2.04513527,-0.1414367216
abx_mega__tec_h2o__3,-1.359732514,-1.4578579304
abx_mega__phos_h2o__7,-0.4087810378,0.11143062270000001
abx_mega__chl_h2o__5,-1.1696047679000001,1.3787495486
abx_mega__polmyx_h2o__6,0.5432425189,0.4668532543
abx_mega__teix_dmso__14,0.3692991514,-0.1573475462
abx_mega__rif_dmso__7,0.2414485446,0.2687592119
abx_mega__ramo_h2o__3,0.27628032080000003,-0.36147753800000004
abx_mega__fidax_dmso__4,0.39605850140000004,0.4141394645
abx_mega__teix_dmso__15,0.6946951063,0.3057869387
abx_mega__thio_dmso__4,-1.3255345264,-0.1096614154
abx_mega__rif_dmso__8,2.3498057754,-0.3535619499
abx_mega__reta_dmso__4,-1.4571885475,0.3421046089
abx_mega__inh_h2o__4,3.4558237645,-0.9636854423000001
abx_mega__novo_dmso__2,3.0479889861,-1.7281257668
abx_mega__dcs_h2o__3,0.8494195427000001,0.5808706686
abx_mega__h2o-8b__3,0.008017771,0.6674134137000001
abx_mega__valin_dmso__3,0.4840324311,0.07739042160000001
abx_mega__h2o-2__1,1.5785227949,-0.8663445992000001
abx_mega__cro_h2o__4,1.6995568678000001,0.030144000100000002
abx_mega__dcs_h2o__4,0.13535431450000002,0.09079031850000001
abx_mega__str_h2o__5,1.6038478858,-1.1099629546
abx_mega__h2o-8a__3,0.7094520033,0.024004266
abx_mega__dox_dmso__7,0.7805454281,-0.42116387120000004
abx_mega__doxo_dmso__2,1.2653055399,-1.397805307
abx_mega__teix_dmso__16,1.2231883559,-1.7133984324
abx_mega__rfp_h2o__3,0.5850388835,-0.6459509658
abx_mega__ethanol-10__3,1.7101606077,-0.7057005825
abx_mega__naoh-2__2,1.3958328986000001,-1.1102225607
abx_mega__van_h2o__4,-0.5386250260000001,-0.7097843329
abx_mega__sacet_h2o__2,-0.036724135000000005,-1.085335857
abx_mega__monac_dmso__4,3.0263120119,-1.1215969016
abx_mega__h2o-2__2,1.4907011485,-0.8575206524000001
abx_mega__zeocin_h2o__5,0.3897152917,-0.4327636548
abx_mega__nor_naoh__5,-0.10024660170000001,0.776941293
abx_mega__naoh-9__2,0.2034742854,0.9400545023
abx_mega__dmso-7__3,1.0079804515,-1.5013347562
abx_mega__van_h2o__5,-0.5580730254,-0.7765814757
abx_mega__flavo_dmso__4,-0.7412657303,-1.0586352665
abx_mega__novo_dmso__3,2.8400181037000003,-1.425740123
abx_mega__polmyx_h2o__7,0.38178307840000003,0.4797339658
abx_mega__teix_dmso__17,0.7172122399,-0.130303478
abx_mega__doxo_dmso__3,-0.2903786461,-1.3401951426
abx_mega__mem_dmso__6,0.8712620478,0.43487919890000004
abx_mega__h2o-1a__3,0.1133309643,0.1901386991
abx_mega__bacit_dmso__3,3.91463675,-0.9603731657000001
abx_mega__dox_dmso__8,-1.5772059257,-0.4513563224
abx_mega__teix_dmso__18,1.2994965487,-0.8206277036
abx_mega__h2o-6__3,0.541147535,-0.1657357451
abx_mega__pen_h2o__5,0.0776989649,-0.7383502743
abx_mega__lzd_dmso__4,0.11677305240000001,-0.0859481915
abx_mega__daro__1,-1.3936154529,-0.3860993526
abx_mega__solv__1,-0.4208170567,-0.7739475034000001
abx_mega__daro__2,-0.9932582412000001,-0.6278288396
abx_mega__daro__3,-1.3286565664,-0.7721114121
abx_mega__solv__2,-0.1564150503,-0.8384817822
abx_mega__solv__3,-0.7727887440000001,-0.5383252818
abx_mega__dmso-4__1,1.4417404016,-0.3146336151
abx_mega__kirr_dmso__1,0.1794269704,1.0746940556
abx_mega__kirr_dmso__2,-0.3361650017,1.2026564112
abx_mega__kirr_dmso__3,4.1664996707,0.7632345781000001
abx_mega__dmso-4__2,2.4430546678000002,0.1173240604
abx_mega__dmso-4__3,1.5505528965000002,0.1359646786
ackA_pta__dnaA46_del_ackA__1,-1.758976026,-0.6093686487000001
ackA_pta__dnaA46_del_ackA__2,-2.1534470521,-0.056728238800000004
ackA_pta__dnaA46_del_ackA__3,-1.7000180623999999,-0.8341741082
ackA_pta__dnaA46_del_pta__1,-1.6119219545,0.016866896000000003
ackA_pta__dnaA46_del_pta__2,-0.900367432,-0.9079475611000001
ackA_pta__dnaA46_del_pta__3,-0.7800903731000001,-0.9098997400000001
ackA_pta__dnaA46__1,-0.6913166951,-0.46336166630000003
ackA_pta__dnaA46__2,-0.6897912649,-1.5612930295
ackA_pta__dnaA46__3,-0.8788718769,-0.5834105061
ackA_pta__del_ackA__1,-1.933698652,0.9475485465000001
ackA_pta__del_ackA__2,-2.2208063601,0.0284581463
ackA_pta__del_ackA__3,-1.6751816892,-1.104268812
ackA_pta__del_pta__1,0.0299013114,-0.6523744146
ackA_pta__del_pta__2,-1.5601949079000001,-1.269660856
ackA_pta__del_pta__3,-1.2608534997,-0.5147469412
ackA_pta__wt__1,0.33102495330000004,0.7993024054000001
ackA_pta__wt__2,-0.2198742277,-0.3647953855
ackA_pta__wt__3,-0.1111507255,-0.4345070199
anticancer__5fu__1,-0.8268687297,-0.4655957753
anticancer__5fu__2,-0.5144352863,-0.5481642074
anticancer__cap__1,-1.3506914307,-0.0302372713
anticancer__cap__2,-0.8271931008000001,-0.0218173015
anticancer__cap__3,-1.1199270529,-0.041214395800000005
anticancer__wt__1,-0.39149693750000003,-0.1980078069
anticancer__wt__2,0.23515943920000001,0.0413068111
anticancer__wt__3,0.15633749830000002,0.1567009958
anticancer__5fu__3,0.3366513043,-0.7412147944
bio_pln__aero_pln__1,0.0770913763,-0.0042775971
bio_pln__aero_pln__2,-0.0770913763,0.0042775971
bio_pln__anaero_pln__1,1.1628502886,-0.3777292233
bio_pln__anaero_pln__2,0.3412631557,-0.06447111850000001
biocide__bzcl_12h__1,-0.67231406,-0.5395959175
biocide__bzcl_12h__2,0.2583998677,-0.28536605060000003
biocide__bzcl_12h__3,0.2321823406,-0.4250061747
biocide__etoh_12h__1,0.9347019334000001,0.0235783456
biocide__etoh_12h__2,0.4392908857,-0.039420595600000004
biocide__etoh_12h__3,0.22431476520000002,-0.1094869375
biocide__gluald_12h__1,0.24691945680000002,-0.0326609823
biocide__gluald_12h__2,0.222767125,-0.3099871517
biocide__gluald_12h__3,0.1253294436,-0.043518529
biocide__h2o2_12h__1,-0.0168880053,-0.38544221980000004
biocide__h2o2_12h__2,0.29606954960000004,-0.4520856192
biocide__h2o2_12h__3,0.9666791924,-0.1831677536
biocide__2ppoh_12h__1,-0.1865497728,0.2035889653
biocide__2ppoh_12h__2,0.4495185057,-0.1762383065
biocide__2ppoh_12h__3,0.5542306247000001,-0.1728522376
biocide__paa_12h__1,0.4937984027,-0.7820028531000001
biocide__paa_12h__2,0.048985283000000004,-0.4649749307
biocide__paa_12h__3,0.035494819500000004,-0.7379650842000001
biocide__phe_12h__1,0.9905006541,-0.5256127339000001
biocide__phe_12h__2,0.4458117096,-0.278229455
biocide__phe_12h__3,0.2606889222,-0.2561832736
biocide__pvp-i_12h__1,0.9028279041,-0.5646681648
biocide__pvp-i_12h__2,0.5549560153,-0.2689492874
biocide__pvp-i_12h__3,0.2017064375,-0.253034003
biocide__bleach_12h__1,0.8256230800000001,-0.4874190403
biocide__bleach_12h__2,0.0714622439,-0.6272527809
biocide__bleach_12h__3,1.0065006494,-0.1262221729
biocide__chx_12h__1,0.9666448910000001,-0.7105592749
biocide__chx_12h__2,1.2568705995,-0.2234168986
biocide__chx_12h__3,0.8170239130000001,-0.4835131582
biocide__bzcl_30m__1,-0.5093293529,1.0830000557
biocide__bzcl_30m__2,-0.4814706978,0.8028522437000001
biocide__bzcl_30m__3,0.2928163408,0.3836141907
biocide__phe_30m__1,-0.2177282181,0.4586959008
biocide__phe_30m__2,-1.3980388303,0.2067127165
biocide__phe_30m__3,0.3452802532,0.8048551665
biocide__pvp-i_30m__1,-0.0033244352000000002,0.3858079227
biocide__pvp-i_30m__2,0.2348720668,-0.273203232
biocide__pvp-i_30m__3,0.36372302840000004,0.5070387529
biocide__ctrl_12h__1,-0.0063119502,-0.0398622316
biocide__ctrl_12h__2,0.142135653,0.3150769409
biocide__ctrl_12h__3,0.3814332178,-0.1384531021
biocide__ctrl_30m__1,-0.193997678,0.13240459200000002
biocide__ctrl_30m__2,0.13953573760000001,0.0516329394
biocide__ctrl_30m__3,0.0544619404,-0.1840375314
clpP__wt__1,-0.3739316176,0.0899292587
clpP__wt_DPTA__1,21.6244693675,3.3269191199
clpP__wt__2,0.1187645127,-0.24015768850000002
clpP__wt_DPTA__2,20.6171658185,3.2538758748
clpP__wt__3,0.2551671049,0.15022842990000002
clpP__wt_DPTA__3,22.1963672825,3.0579390497
clpP__delclpP__1,-0.3435511674,0.17790933220000002
clpP__delclpP_DPTA__1,22.5230561439,3.0154587475
clpP__delclpP__2,-0.7304479601,-0.29396626940000004
clpP__delclpP_DPTA__2,21.7436371663,2.6918745485
clpP__delclpP__3,0.3445226416,0.20320679760000002
clpP__delclpP_DPTA__3,22.6383712703,2.9496194694
colombos2__delydcR__1,-2.7586156134,-0.0736536869
colombos2__delydcR__2,-1.1574589703,0.0159213268
colombos2__delydcR__3,-2.469571503,-0.31981519740000003
colombos2__delyjiR__1,0.3490255493,-0.559166473
colombos2__delyjiR__2,-1.9844073315,-0.0927337708
colombos2__delyjiR__3,-0.4379549372,-0.1122962626
colombos2__wt__1,1.2539740978,0.41071444570000004
colombos2__wt__2,-0.8553819684,-0.5022864009
colombos2__wt__3,-0.3985921294,0.0915719552
crp_k100__ar1_ar2__1,-2.5496468675,-0.0931409378
crp_k100__ar1_ar2__2,-2.0565611306,0.0394206443
crp_k100__ar1_ar2__3,0.0021944462,-0.1087837771
crp_k100__wt__1,-1.0285816373,0.1009838946
crp_k100__wt__2,0.19562932560000001,-0.1362906683
crp_k100__wt__3,0.8329523117000001,0.0353067737
crp_k100__K100Q__1,-0.7286897559000001,0.11250903770000001
crp_k100__K100Q__2,0.8213902416000001,-0.4795371357
crp_k100__K100R__1,-0.6805408744,-0.7810384831
crp_k100__K100R__2,-1.1722597643000001,-1.3201247277000001
crp_k100__K100R__3,-0.5945691823,-0.9715662444000001
csrA__wt_t00__1,-0.2045147984,-0.7408042575
csrA__wt_t02_30__1,0.35944259500000003,-1.9703819961
csrA__wt_t05__1,2.5654571337,-2.1829570582
csrA__wt_t10__1,2.126238404,-2.2090349019
csrA__wt_t15__1,3.886878743,-0.8266729629
csrA__delcsrA_t00__1,-0.5182484310000001,-0.0342844339
csrA__delcsrA_t02_30__1,-0.43686027990000004,-0.6042916011
csrA__delcsrA_t05__1,1.9422004267,0.2891719101
csrA__delcsrA_t10__1,2.3277928798,-1.2108692620000001
csrA__delcsrA_t15__1,1.5794104607000001,0.7152334293
csrA__wt_t00__2,0.2045147984,0.7408042575
csrA__wt_t02_30__2,0.5690538831,-0.5498742661
csrA__wt_t05__2,2.6071205357,-1.0600127211
csrA__wt_t10__2,3.2151002246,-1.4948052362
csrA__wt_t15__2,3.7266221354,-0.9260259787
csrA__delcsrA_t00__2,-0.6782355102000001,-0.311380156
csrA__delcsrA_t02_30__2,0.0568697868,0.5509370591
csrA__delcsrA_t05__2,1.1988731694,-1.1406698393
csrA__delcsrA_t10__2,2.6619379597,0.2402593931
csrA__delcsrA_t15__2,3.0647758814,1.6290961172
cstr_pfr__str_0005m__1,0.2288315541,-0.1582608949
cstr_pfr__str_0010m__1,0.2427097444,-0.1035964459
cstr_pfr__str_0025m__1,-0.38528415460000004,0.1064419509
cstr_pfr__str_0045m__1,-0.36107386810000003,0.0582057624
cstr_pfr__str_0075m__1,-0.5279664157,0.0020505927
cstr_pfr__str_0120m__1,-0.589236756,0.0154914979
cstr_pfr__str_0210m__1,-0.4091478879,0.1238088311
cstr_pfr__str_0330m__1,-0.0674109422,0.12901503890000002
cstr_pfr__str_1500m__1,0.024803414500000003,-0.0006478856
