locus,gene_weight,gene_name,gene_product,COG,operon,regulator,link
new_909123_909197_c,0.092910474,S284,3'UTR of padR,No COG category,,,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_909123_909197_c
new_3014345_3014422_c,0.092233643,S1118,5'UTR of argG,No COG category,,"AhrC,YlxR",http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_3014345_3014422_c
new_1745919_1745990,0.091319807,S599,5'UTR of asd,No COG category,,"SigK,SigA",http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_1745919_1745990
new_3579515_3579589_c,0.090403012,S1329,5'UTR of bmrA,No COG category,,SigA,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_3579515_3579589_c
new_1559111_1559216,0.089351647,S542,5'UTR of ctaB,No COG category,,"ResD,Abh,CcpA,AbrB",http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_1559111_1559216
new_4039160_4039225_c,0.088964362,S1515,5'UTR of yxiB,No COG category,,,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_4039160_4039225_c
new_3297920_3297994_c,0.088887716,S1232,5'UTR of yuiE,No COG category,,,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_3297920_3297994_c
new_2214865_2214961_c,0.08730459900000001,S791,5'UTR of yopC,No COG category,,,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_2214865_2214961_c
new_1000282_1000363,0.084435173,S320,5'UTR of yhxA,No COG category,,SigA,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_1000282_1000363
new_935578_935655,0.08424581,S297,5'UTR of mutY,No COG category,,"SigA,SigG,YfhP",http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_935578_935655
new_3604923_3604992,0.08412741900000001,S1337,5'UTR of yvmB,No COG category,,"PchR,CcpA",http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_3604923_3604992
new_1105569_1105635_c,0.08387987300000001,S363,5'UTR of aprE,No COG category,,"SigA,SinR,CodY,DegU,AbrB,ScoC",http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_1105569_1105635_c
BSU__misc_RNA_16,0.081737446,YkkC riboswitch,,No COG category,,YkkC riboswitch,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_misc_RNA_16
new_4155210_4155306_c,0.081238873,S1555,5' of trnY-Lys,No COG category,,,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_4155210_4155306_c
new_35356_35458,0.076238942,S21,intergenic region,No COG category,,,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_35356_35458
new_2221639_2221791,0.07542138200000001,S796,independent transcript,No COG category,,,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_2221639_2221791
new_1891803_1891907,0.07429588200000001,S634,5'UTR of xylA,No COG category,,"SigA,XylR,CcpA",http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_1891803_1891907
new_3046584_3046684_c,0.074233112,S1141,5'UTR of aroA,No COG category,,,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_3046584_3046684_c
new_3246432_3246527,0.07055512,S1210,5'UTR of mrpA,No COG category,,,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_3246432_3246527
new_2781002_2781208,0.068510034,S1031,5'UTR of yrhE,No COG category,,,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_2781002_2781208
new_4199733_4199799_c,0.06702018400000001,S1575,5'UTR of rpsF,No COG category,,"ComK,SigA,stringent response",http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_4199733_4199799_c
new_3228712_3228777,0.066268878,S1204,5'UTR of patB,No COG category,,,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_3228712_3228777
new_559146_559263,0.066222786,S179,5'UTR of cspC,No COG category,,,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_559146_559263
BSU_36269,0.064009947,ywzD,unknown,Function unknown,ywzD,,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU36269
new_1030069_1030171_c,0.062560795,S330,5'UTR of sigM,No COG category,,"SigM,SigA",http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_1030069_1030171_c
new_551930_551999,0.061682348000000005,S177,3'UTR of lrpA,No COG category,,,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_551930_551999
new_2404091_2404172_c,0.059433681,S870,5'UTR of ypbH,No COG category,,,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_2404091_2404172_c
BSU_05120,0.058906821000000005,cspC,cold shock protein,Transcription,cspC,,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU05120
new_2829449_2829527_c,0.05855061600000001,S1047,5'UTR of comN,No COG category,,SigM,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_2829449_2829527_c
new_1041710_1041809_c,0.056500972000000003,S336,5'UTR of yheN,No COG category,,,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_1041710_1041809_c
new_3979408_3979516_c,0.056215201000000006,S1487,5'UTR of cydA,No COG category,,"ResD,Rex,SigF,CcpA",http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_3979408_3979516_c
BSU_38730,-0.067404001,cydD,ABC transporter  (ATP-binding protein),Defense mechanisms,"cydA->cydD, cydD","ResD,Rex,SigF,CcpA",http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU38730
new_2014633_2014704_c,-0.069222348,S683,5'UTR of gltA,No COG category,,"SigA,TnrA,GltC,Fur",http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_2014633_2014704_c
